reg_san,marca,den_gen,titular,principio,indicacion,busqueda
118m2012 ssa,trayenta duo,linagliptina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bx99  otros principios activos. otras drogas hipoglucemiantes orales.,para el tratamiento de la diabetes mellitus tipo 2.,trayenta
118m2012 ssa,trayenta duo,linagliptina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bx99  otros principios activos. otras drogas hipoglucemiantes orales.,para el tratamiento de la diabetes mellitus tipo 2.,trayenta duo
118m2012 ssa,trayenta duo,linagliptina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bx99  otros principios activos. otras drogas hipoglucemiantes orales.,para el tratamiento de la diabetes mellitus tipo 2.,trayenta duo
118m2012 ssa,trayenta duo,linagliptina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bx99  otros principios activos. otras drogas hipoglucemiantes orales.,para el tratamiento de la diabetes mellitus tipo 2.,trayenta duo
118m2012 ssa,trayenta duo,linagliptina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bx99  otros principios activos. otras drogas hipoglucemiantes orales.,para el tratamiento de la diabetes mellitus tipo 2.,trayenta duo
118m2012 ssa,trayenta duo,linagliptina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bx99  otros principios activos. otras drogas hipoglucemiantes orales.,para el tratamiento de la diabetes mellitus tipo 2.,trayenta duo
118m2012 ssa,trayenta duo,linagliptina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bx99  otros principios activos. otras drogas hipoglucemiantes orales.,para el tratamiento de la diabetes mellitus tipo 2.,trayenta duo
334m2015 ssa,vargatef,nintedanib,"boehringer ingelheim promeco, s.a. de c.v.",,"indicado en combinación con docetaxel para el tratamiento de los pacientes con cáncer de pulmón de células no pequeñas (cpcnp), localmente avanzado, metastásico o recurrente de histología tumoral adenocarcinoma, tras la quimioterapia de primera",vargatef
334m2015 ssa,vargatef,nintedanib,"boehringer ingelheim promeco, s.a. de c.v.",,"indicado en combinación con docetaxel para el tratamiento de los pacientes con cáncer de pulmón de células no pequeñas (cpcnp), localmente avanzado, metastásico o recurrente de histología tumoral adenocarcinoma, tras la quimioterapia de primera",vargatef
292m2016 ssa,opdivo,nivolumab,,l01xc99  otros principios activos. anticuerpos monoclonales,"melanoma no resecable o metastásicoopdivo, como monoterapia o en combinación con ipilimumab, está indicado para el tratamiento de pacientes con melanoma no resecable o metastásico.tratamiento adyuvante del melanomaopdivo, como monoterapia, está indicado para el tratamiento adyuvante de pacientes con melanoma y compromiso de ganglios linfáticos o con enfermedad metastásica que han sido sometidos a resección completa.cáncer de pulmón de células no pequeñas opdivo, en combinación con ipilimumab, o en combinación con ipilimumab con 2 ciclos de quimioterapia con doblete de platino, está indicado para el tratamiento de primera línea de pacientes adultos con cáncer de pulmón de células no pequeñas (nsclc) metastásico o recurrente, sin aberraciones tumorales genómicas egfr o alk.opdivo está indicado para el tratamiento de pacientes con cáncer de pulmón de células no pequeñas (nsclc) tanto de tipo escamoso como no escamoso metastásico que muestra progresión durante o después de la quimiotpacientes con alteraciones genéticas tumorales en egfr o alk deben haber experimentado progresión de la enfermedad con una terapia para estas alteraciones antes de recibir tratamiento con opdivo.carcinoma de células renales avanzadoopdivo, como monoterapia, está indicado para el tratamiento de pacientes con carcinoma de células renales (rcc) avanzado que han recibido terapia previa antiangiogénica incluidos los inhibidores de la tirosin cinasa.opdivo, en combinación con ipilimumab, está indicado para el tratamiento en primera línea de pacientes con carcinoma de células renales (rcc) avanzado con pronóstico intermedio o pobre.opdivo en combinación con carbozantinib, está indicado para el tratamiento en primera línea de pacientes con rcc avanzado.linfoma de hodgkin clásicoopdivo está indicado en el tratamiento de pacientes con linfoma de hodgkin clásico (chl) que han recaído o progresado después de un trasplante autólogo de células progenitoras hematopoyéticas (hsct), o también en aquelloosterior al uso de brentuximab vedotin post-trasplante.cáncer de cabeza y cuello de tipo escamosoopdivo está indicado para el tratamiento de pacientes con cáncer de cabeza y cuello de tipo escamoso recurrente o metastásico (scchn) con progresión de la enfermedad o después de la terapia basada en platino.carcinoma urotelialopdivo, como monoterapia, está indicado para el tratamiento de pacientes con carcinoma urotelial localmente avanzado o metastásico que:•	tienen progresión de la enfermedad durante o después de la quimioterapia que contiene platino.•	tienen progresión de la enfermedad dentro de los 12 meses del tratamiento neoadyuvante o adyuvante con quimioterapia que contiene platino.carcinoma hepatocelularopdivo en combinación con ipilimumab está indicado para el tratamiento de pacientes con carcinoma hepatocelular (hcc) que han sido previamente tratados con sorafenib.cáncer gástrico, cáncer de la unión gastroesofágica y adenocarcinoma esofágicoopdivo en combinación con quimioterapiopirimidina y platino, está indicado para el tratamiento de pacientes con cáncer gástrico, cáncer de la unión gastroesofágica y adenocarcinoma esofágico avanzado o metastásico.cáncer esofágicoopdivo está indicado para el tratamiento adyuvante del cáncer esofágico o de la unión gastroesofágica completamente resecado con enfermedad patológica residual en pacientes que han recibido quimiorradioterapia neo",opdivo
292m2016 ssa,opdivo,nivolumab,,l01xc99  otros principios activos. anticuerpos monoclonales,"melanoma no resecable o metastásicoopdivo, como monoterapia o en combinación con ipilimumab, está indicado para el tratamiento de pacientes con melanoma no resecable o metastásico.tratamiento adyuvante del melanomaopdivo, como monoterapia, está indicado para el tratamiento adyuvante de pacientes con melanoma y compromiso de ganglios linfáticos o con enfermedad metastásica que han sido sometidos a resección completa.cáncer de pulmón de células no pequeñas opdivo, en combinación con ipilimumab, o en combinación con ipilimumab con 2 ciclos de quimioterapia con doblete de platino, está indicado para el tratamiento de primera línea de pacientes adultos con cáncer de pulmón de células no pequeñas (nsclc) metastásico o recurrente, sin aberraciones tumorales genómicas egfr o alk.opdivo está indicado para el tratamiento de pacientes con cáncer de pulmón de células no pequeñas (nsclc) tanto de tipo escamoso como no escamoso metastásico que muestra progresión durante o después de la quimiotpacientes con alteraciones genéticas tumorales en egfr o alk deben haber experimentado progresión de la enfermedad con una terapia para estas alteraciones antes de recibir tratamiento con opdivo.carcinoma de células renales avanzadoopdivo, como monoterapia, está indicado para el tratamiento de pacientes con carcinoma de células renales (rcc) avanzado que han recibido terapia previa antiangiogénica incluidos los inhibidores de la tirosin cinasa.opdivo, en combinación con ipilimumab, está indicado para el tratamiento en primera línea de pacientes con carcinoma de células renales (rcc) avanzado con pronóstico intermedio o pobre.opdivo en combinación con carbozantinib, está indicado para el tratamiento en primera línea de pacientes con rcc avanzado.linfoma de hodgkin clásicoopdivo está indicado en el tratamiento de pacientes con linfoma de hodgkin clásico (chl) que han recaído o progresado después de un trasplante autólogo de células progenitoras hematopoyéticas (hsct), o también en aquelloosterior al uso de brentuximab vedotin post-trasplante.cáncer de cabeza y cuello de tipo escamosoopdivo está indicado para el tratamiento de pacientes con cáncer de cabeza y cuello de tipo escamoso recurrente o metastásico (scchn) con progresión de la enfermedad o después de la terapia basada en platino.carcinoma urotelialopdivo, como monoterapia, está indicado para el tratamiento de pacientes con carcinoma urotelial localmente avanzado o metastásico que:•	tienen progresión de la enfermedad durante o después de la quimioterapia que contiene platino.•	tienen progresión de la enfermedad dentro de los 12 meses del tratamiento neoadyuvante o adyuvante con quimioterapia que contiene platino.carcinoma hepatocelularopdivo en combinación con ipilimumab está indicado para el tratamiento de pacientes con carcinoma hepatocelular (hcc) que han sido previamente tratados con sorafenib.cáncer gástrico, cáncer de la unión gastroesofágica y adenocarcinoma esofágicoopdivo en combinación con quimioterapiopirimidina y platino, está indicado para el tratamiento de pacientes con cáncer gástrico, cáncer de la unión gastroesofágica y adenocarcinoma esofágico avanzado o metastásico.cáncer esofágicoopdivo está indicado para el tratamiento adyuvante del cáncer esofágico o de la unión gastroesofágica completamente resecado con enfermedad patológica residual en pacientes que han recibido quimiorradioterapia neo",opdivo
104m2007 ssa,sprycel,dasatinib,,l01xe06  dasatinib,"para el tratamiento de la leucemia mieloide crónica en fase crónica recientemente diagnosticada, tratamiento de la leucemia linfoblástica aguda (cromosoma filadelfia positivo) y leucemia mieloide crónica con resistencia o intolerancia a la terapia previa. tratamiento de pacientes pediátricos con leucemia mieloide crónica (cromosoma filadelfia positivo) en fase cr",sprycel
104m2007 ssa,sprycel,dasatinib,,l01xe06  dasatinib,"para el tratamiento de la leucemia mieloide crónica en fase crónica recientemente diagnosticada, tratamiento de la leucemia linfoblástica aguda (cromosoma filadelfia positivo) y leucemia mieloide crónica con resistencia o intolerancia a la terapia previa. tratamiento de pacientes pediátricos con leucemia mieloide crónica (cromosoma filadelfia positivo) en fase cr",sprycel
113501el870001,yervoy,ipilimumab,,,tratamiento de melanoma no resecable o metastásic,yervoy
005m2018 ssa,lenvixi,mesilato de lenvatinib,,l01xe29 lenvatinib,"indicado en combinación con everolimus para el tratamiento de pacientes con cáncer de células renales avanzado posterior a la terapia previa dirigida al factor de crecimiento del endotelio vascular.indicado para el tratamiento de pacientes con cáncer de tiroides diferenciado, refractario a iodo radioactivo, progresivo.indicado como monoterapia para el tratamiento de pacientes adultos con carcinoma hepatocelular (chc) avanzado o irresecable que no han recibido tratamiento sistémico pr",lenvixi
005m2018 ssa,lenvixi,mesilato de lenvatinib,,l01xe29 lenvatinib,"indicado en combinación con everolimus para el tratamiento de pacientes con cáncer de células renales avanzado posterior a la terapia previa dirigida al factor de crecimiento del endotelio vascular.indicado para el tratamiento de pacientes con cáncer de tiroides diferenciado, refractario a iodo radioactivo, progresivo.indicado como monoterapia para el tratamiento de pacientes adultos con carcinoma hepatocelular (chc) avanzado o irresecable que no han recibido tratamiento sistémico pr",lenvixi
282m2017 ssa,olumiant,baricitinib,,l04aa37 baricitinib,"para el tratamiento de la artritis reumatoide activa moderada a grave en pacientes adultos que han respondido inadecuadamente, o que son intolerantes a uno o más fármacos antirreumáticos modificadores de la enfermedad. puede utilizarse como monoterapia o en combinación con metotrexato.para el tratamiento de pacientes adultos con dermatitis atópica de moderada a g",olumiant
282m2017 ssa,olumiant,baricitinib,,l04aa37 baricitinib,"para el tratamiento de la artritis reumatoide activa moderada a grave en pacientes adultos que han respondido inadecuadamente, o que son intolerantes a uno o más fármacos antirreumáticos modificadores de la enfermedad. puede utilizarse como monoterapia o en combinación con metotrexato.para el tratamiento de pacientes adultos con dermatitis atópica de moderada a g",olumiant
375m2017 ssa,taltz,ixekizumab,,l04ac13 ixekizumab,"psoriasis en placataltz está indicado para el tratamiento de la psoriasis en placa, moderada a severa, en adultos que son candidatos a terapia sistémica o fototerapia.artritis psoriásicataltz está indicado para el tratamiento de la artritis psoriásica activa en adultos.espondiloartritis axialespondilitis anquilosante (espondiloartritis axial radiográfica):taltz está indicado para el tratamiento de adultos con espondilitis anquilosante activa.espondiloartritis axial no radiográfica:taltz está indicado para el tratamiento de adultos con espondiloartritis axial no radiográfica activa con signos objetivos de in",taltz
173m2015 ssa,trulicity,dulaglutida,"eli lilly y compañia de mexico, s.a. de c.v",a10bj05 dulaglutida,"diabetes mellitus tipo 2: control glucémicotrulicity está indicado como adyuvante a la dieta y el ejercicio para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2:• como monoterapia o• en combinación con otros agentes hipoglucemiantes incluyendo insulina (véase la sección v. estudios clínicos de la información para prescribir, para obtener datos con respecto a las diferentes combinaciones).diabetes mellitus tipo 2: reducción del riesgo de eventos cardiovasculares mayorestrulicity está indicado como complemento a la terapia estándar de atención médica para reducir el riesgo de eventos cardiovasculares mayores (muerte cardiovascular, infarto del miocardio no fatal o accidente vascular cerebral no fatal) en adultos con diabetes mellitus tipo 2 que cuentan con:• una enfermedad cardiovascular establecida o • múltiples factores de ri",trulicity
173m2015 ssa,trulicity,dulaglutida,"eli lilly y compañia de mexico, s.a. de c.v",a10bj05 dulaglutida,"diabetes mellitus tipo 2: control glucémicotrulicity está indicado como adyuvante a la dieta y el ejercicio para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2:• como monoterapia o• en combinación con otros agentes hipoglucemiantes incluyendo insulina (véase la sección v. estudios clínicos de la información para prescribir, para obtener datos con respecto a las diferentes combinaciones).diabetes mellitus tipo 2: reducción del riesgo de eventos cardiovasculares mayorestrulicity está indicado como complemento a la terapia estándar de atención médica para reducir el riesgo de eventos cardiovasculares mayores (muerte cardiovascular, infarto del miocardio no fatal o accidente vascular cerebral no fatal) en adultos con diabetes mellitus tipo 2 que cuentan con:• una enfermedad cardiovascular establecida o • múltiples factores de ri",trulicity
173m2015 ssa,trulicity,dulaglutida,"eli lilly y compañia de mexico, s.a. de c.v",a10bj05 dulaglutida,"diabetes mellitus tipo 2: control glucémicotrulicity está indicado como adyuvante a la dieta y el ejercicio para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2:• como monoterapia o• en combinación con otros agentes hipoglucemiantes incluyendo insulina (véase la sección v. estudios clínicos de la información para prescribir, para obtener datos con respecto a las diferentes combinaciones).diabetes mellitus tipo 2: reducción del riesgo de eventos cardiovasculares mayorestrulicity está indicado como complemento a la terapia estándar de atención médica para reducir el riesgo de eventos cardiovasculares mayores (muerte cardiovascular, infarto del miocardio no fatal o accidente vascular cerebral no fatal) en adultos con diabetes mellitus tipo 2 que cuentan con:• una enfermedad cardiovascular establecida o • múltiples factores de ri",trulicity
173m2015 ssa,trulicity,dulaglutida,"eli lilly y compañia de mexico, s.a. de c.v",a10bj05 dulaglutida,"diabetes mellitus tipo 2: control glucémicotrulicity está indicado como adyuvante a la dieta y el ejercicio para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2:• como monoterapia o• en combinación con otros agentes hipoglucemiantes incluyendo insulina (véase la sección v. estudios clínicos de la información para prescribir, para obtener datos con respecto a las diferentes combinaciones).diabetes mellitus tipo 2: reducción del riesgo de eventos cardiovasculares mayorestrulicity está indicado como complemento a la terapia estándar de atención médica para reducir el riesgo de eventos cardiovasculares mayores (muerte cardiovascular, infarto del miocardio no fatal o accidente vascular cerebral no fatal) en adultos con diabetes mellitus tipo 2 que cuentan con:• una enfermedad cardiovascular establecida o • múltiples factores de ri",trulicity
181m2019 ssa,verzenio,abemaciclib,,l01xe50 abemaciclib,"verzenio (abemaciclib) está indicado:cancer de mama temprano: - como tratamiento adyuvante en combinación con terapia endocrina, para pacientes con cáncer de mama etapa temprana con receptores hormonales positivos (rh+) y her.2.- con alto riesgo de recurrencia y ganglios positivos. cáncer de mama avanzado o metastásicoestá indicado como tratamiento inicial, en combinación con un inhibidor de aromatasa como terapia endocrina de base, para el tratamiento inicial de mujeres menopáusicas con cáncer de mama avanzado o metastásico positivo para receptores hormonales (hr+) y negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–).en combinación con fulvestrant para el tratamiento de mujeres con cáncer de mama avanzado o metastásico positivo para receptores hormonales (hr+), negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–), con progresión de la enfermedad después de la terapia endocrina.como monoterapia para el tratamiento de pacientes adultoavanzado o metastásico positivo para receptores hormonales (hr+), negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–), con progresión de la enfermedad después de la terapia endocrina y quimioterapia previa en el ámbito metas",verzenio
181m2019 ssa,verzenio,abemaciclib,,l01xe50 abemaciclib,"verzenio (abemaciclib) está indicado:cancer de mama temprano: - como tratamiento adyuvante en combinación con terapia endocrina, para pacientes con cáncer de mama etapa temprana con receptores hormonales positivos (rh+) y her.2.- con alto riesgo de recurrencia y ganglios positivos. cáncer de mama avanzado o metastásicoestá indicado como tratamiento inicial, en combinación con un inhibidor de aromatasa como terapia endocrina de base, para el tratamiento inicial de mujeres menopáusicas con cáncer de mama avanzado o metastásico positivo para receptores hormonales (hr+) y negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–).en combinación con fulvestrant para el tratamiento de mujeres con cáncer de mama avanzado o metastásico positivo para receptores hormonales (hr+), negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–), con progresión de la enfermedad después de la terapia endocrina.como monoterapia para el tratamiento de pacientes adultoavanzado o metastásico positivo para receptores hormonales (hr+), negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–), con progresión de la enfermedad después de la terapia endocrina y quimioterapia previa en el ámbito metas",verzenio
181m2019 ssa,verzenio,abemaciclib,,l01xe50 abemaciclib,"verzenio (abemaciclib) está indicado:cancer de mama temprano: - como tratamiento adyuvante en combinación con terapia endocrina, para pacientes con cáncer de mama etapa temprana con receptores hormonales positivos (rh+) y her.2.- con alto riesgo de recurrencia y ganglios positivos. cáncer de mama avanzado o metastásicoestá indicado como tratamiento inicial, en combinación con un inhibidor de aromatasa como terapia endocrina de base, para el tratamiento inicial de mujeres menopáusicas con cáncer de mama avanzado o metastásico positivo para receptores hormonales (hr+) y negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–).en combinación con fulvestrant para el tratamiento de mujeres con cáncer de mama avanzado o metastásico positivo para receptores hormonales (hr+), negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–), con progresión de la enfermedad después de la terapia endocrina.como monoterapia para el tratamiento de pacientes adultoavanzado o metastásico positivo para receptores hormonales (hr+), negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–), con progresión de la enfermedad después de la terapia endocrina y quimioterapia previa en el ámbito metas",verzenio
181m2019 ssa,verzenio,abemaciclib,,l01xe50 abemaciclib,"verzenio (abemaciclib) está indicado:cancer de mama temprano: - como tratamiento adyuvante en combinación con terapia endocrina, para pacientes con cáncer de mama etapa temprana con receptores hormonales positivos (rh+) y her.2.- con alto riesgo de recurrencia y ganglios positivos. cáncer de mama avanzado o metastásicoestá indicado como tratamiento inicial, en combinación con un inhibidor de aromatasa como terapia endocrina de base, para el tratamiento inicial de mujeres menopáusicas con cáncer de mama avanzado o metastásico positivo para receptores hormonales (hr+) y negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–).en combinación con fulvestrant para el tratamiento de mujeres con cáncer de mama avanzado o metastásico positivo para receptores hormonales (hr+), negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–), con progresión de la enfermedad después de la terapia endocrina.como monoterapia para el tratamiento de pacientes adultoavanzado o metastásico positivo para receptores hormonales (hr+), negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–), con progresión de la enfermedad después de la terapia endocrina y quimioterapia previa en el ámbito metas",verzenio
181m2019 ssa,verzenio,abemaciclib,,l01xe50 abemaciclib,"verzenio (abemaciclib) está indicado:cancer de mama temprano: - como tratamiento adyuvante en combinación con terapia endocrina, para pacientes con cáncer de mama etapa temprana con receptores hormonales positivos (rh+) y her.2.- con alto riesgo de recurrencia y ganglios positivos. cáncer de mama avanzado o metastásicoestá indicado como tratamiento inicial, en combinación con un inhibidor de aromatasa como terapia endocrina de base, para el tratamiento inicial de mujeres menopáusicas con cáncer de mama avanzado o metastásico positivo para receptores hormonales (hr+) y negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–).en combinación con fulvestrant para el tratamiento de mujeres con cáncer de mama avanzado o metastásico positivo para receptores hormonales (hr+), negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–), con progresión de la enfermedad después de la terapia endocrina.como monoterapia para el tratamiento de pacientes adultoavanzado o metastásico positivo para receptores hormonales (hr+), negativo para el receptor 2 del factor de crecimiento epidérmico humano (her2–), con progresión de la enfermedad después de la terapia endocrina y quimioterapia previa en el ámbito metas",verzenio
203m2020 ssa,emgality,galcanezumab,,n02cd02 galcanezumab,prevención de la migraña en adultos que tienen al menos cuatro días de migraña al ,emgality
178m2021 ssa,reyvow,lasmiditan,,n02cc99  otros principios activos. agonistas selectivos del receptor 5-ht1.,tratamiento agudo de la migraña con o sin aura en adultos,reyvow
178m2021 ssa,reyvow,lasmiditan,,n02cc99  otros principios activos. agonistas selectivos del receptor 5-ht1.,tratamiento agudo de la migraña con o sin aura en adultos,reyvow
123501el870004,fampyra,fampridina,,,tratamiento para mejorar la marcha en pacientes con esclerosis múltipl,fampyra
180m2022 ssa,tysabri sc,natalizumab,,l04aa23  natalizumab,tysabri sc está indicado como tratamiento modificador de la enfermedad en adultos con esclerosis múltiple remitente-recurrente (emrr) muy activa para los siguientes grupos de pacientes: • pacientes con enfermedad muy activa a pesar de un tratamiento completo y adecuado con al menos una terapia modificadora de la enfermedad (dmt).o• pacientes con emrr grave de evolución rápida definida por 2 o más brotes discapacitantes en un año y con 1 o más lesiones realzadas con gadolinio en la resonancia magnética (rm) craneal o un incremento significativo en la carga lesional en t2 en comparación con una rm anter,tysabri
072m2023 ssa,tysabri,natalizumab,,l04aa23  natalizumab,"está indicado como tratamiento modificador de la enfermedad en monoterapia en la esclerosis múltiple remitente recurrente (emrr) muy activa. se considera que los pacientes beneficiados son:pacientes con enfermedad altamente activa a pesar del tratamiento con al menos un tratamiento completo y adecuado con una terapia modificadora de la enfermedad (tme), o bien pacientes con enfermedad grave de evolución rápida emrr definida por 2 o más recaídas incapacitantes en un año y con 1 o más lesiones reforzadas con gadolineo (gd) en la resonancia magnética cerebral (rm) o un incremento significativo de la carga lesional en t2 en comparación con una rm anterior",tysabri
386m2017 ssa,vemlidy,tenofovir alafenamida,,j05af07 tenofovir,indicado para el tratamiento de la hepatitis b crónica en adultos y adolescentes (de 12 años de edad y mayores con un peso corporal de al menos 35 kg,vemlidy
283m2014 ssa,citranorox,besilato de cisatracurio,"laboratorios russek, s. de r.l. de c.v.",m03ac11  cisatracurio,relajante neuromuscular no despolarizante.,anoro
186m2015 ssa,anoro,umeclidinio / vilanterol,,r03ak99  otros principios activos. adrenérgicos y otros agentes contra padecimientos obstructivos de las vías respiratoria,tratamiento broncodilatador de mantenimiento para aliviar los síntomas asociados con enfermedad pulmonar obstructiva crónica (epoc,anoro
214m2009 ssa,avamys 2a,fluticasona,,r01ad08  fluticasona,"rinitis alérgica estacional y perenne, antiinflamatorio esteroideo",avamys
236m2015 ssa,incruse,bromuro de umeclidinio,,r03bb07 bromuro de umeclidinio,tratamiento broncodilatador de mantenimiento para aliviar los síntomas asociados con enfermedad pulmonar obstructiva crónica (epoc,incruse
170m2013 ssa,relvare,furoato de fluticasona / vilanterol,,r03ak10 furoato de fluticasona / vilanterol,asma y enfermedad obstructiva crónica (epoc),relvare
170m2013 ssa,relvare,furoato de fluticasona / vilanterol,,r03ak10 furoato de fluticasona / vilanterol,asma y enfermedad obstructiva crónica (epoc),relvare
396m2008 ssa,selzentry,maraviroc,,j05ax01   otros principios activos. agentes de acción directa,antirretroviral para el tratamiento de vih-1.,selzentry
396m2008 ssa,selzentry,maraviroc,,j05ax01   otros principios activos. agentes de acción directa,antirretroviral para el tratamiento de vih-1.,selzentry
339m2014 ssa,tivicay,dolutegravir,,j05ax12 dolutegravir,tratamiento contra la infección del virus de la inmunodeficiencia humana (vih-1) en combinación con otros agentes antirretrovirales en adultos y niños de más de 6 años de edad que pesan al menos 1,tivicay
150m2022 ssa,tivicay,dolutegravir,,j05ax12 dolutegravir,"tratamiento de la infección por del virus de la inmunodeficiencia humana (vih) en combinación con otros agentes antirretrovirales, en adultos y niños con al menos 4 semanas de ed",tivicay
339m2014 ssa,tivicay,dolutegravir,,j05ax12 dolutegravir,tratamiento contra la infección del virus de la inmunodeficiencia humana (vih-1) en combinación con otros agentes antirretrovirales en adultos y niños de más de 6 años de edad que pesan al menos 1,tivicay
150m2022 ssa,tivicay,dolutegravir,,j05ax12 dolutegravir,"tratamiento de la infección por del virus de la inmunodeficiencia humana (vih) en combinación con otros agentes antirretrovirales, en adultos y niños con al menos 4 semanas de ed",tivicay
339m2014 ssa,tivicay,dolutegravir,,j05ax12 dolutegravir,tratamiento contra la infección del virus de la inmunodeficiencia humana (vih-1) en combinación con otros agentes antirretrovirales en adultos y niños de más de 6 años de edad que pesan al menos 1,tivicay
150m2022 ssa,tivicay,dolutegravir,,j05ax12 dolutegravir,"tratamiento de la infección por del virus de la inmunodeficiencia humana (vih) en combinación con otros agentes antirretrovirales, en adultos y niños con al menos 4 semanas de ed",tivicay
439m2016 ssa,triumeq,abacavir / lamivudina / dolutegravir,,j05ar13 lamivudina/abacavir/dolutegravir,tratamiento de adultos y adolescentes mayores de 12 años de edad infectados por el virus de la inmunodeficiencia humana (vih) y que pesen al menos 40 kg,triumeq
097m2019 ssa,palexia,tapentadol,,,analgésico narcótic,palexia
066m2010 ssa,palexia retard,tapentadol,"grünenthal de mexico,s.a de c.",n02ax06 tapentadol,analgésico narcótic,palexia
106m2010 ssa,palexia,tapentadol,,n02ax06 tapentadol,analgésico narcótic,palexia
097m2019 ssa,palexia,tapentadol,,,analgésico narcótic,palexia
066m2010 ssa,palexia retard,tapentadol,"grünenthal de mexico,s.a de c.",n02ax06 tapentadol,analgésico narcótic,palexia
106m2010 ssa,palexia,tapentadol,,n02ax06 tapentadol,analgésico narcótic,palexia
066m2010 ssa,palexia retard,tapentadol,"grünenthal de mexico,s.a de c.",n02ax06 tapentadol,analgésico narcótic,palexia retard
066m2010 ssa,palexia retard,tapentadol,"grünenthal de mexico,s.a de c.",n02ax06 tapentadol,analgésico narcótic,palexia retard
217m2019 ssa,aptimetyx,cabozantinib,,ql01xe99  otros principios activos. inhibidores de tirosin kinasa.,"indicado como monoterapia para el tratamiento del carcinoma de células renales (ccr) avanzado.indicado en combinación con nivolumab para el tratamiento de primera línea del carcinoma de células renales (ccr) avanzado en adultos.indicado para el tratamiento de pacientes con carcinoma hepatocelular (chc) que han sido tratados previamente con un inhibidor de la tirosina quinasa (tki).indicado como monoterapia para el tratamiento de pacientes adultos y adolescentes de 12 años o más con carcinoma diferenciado de tiroides (cdt) localmente avanzado o metastásico, refractario o no apto para el yodo radiactivo (rai) que ha progresado durante o después de una terapia sistémica previa dirigida ",aptimetyx
217m2019 ssa,aptimetyx,cabozantinib,,ql01xe99  otros principios activos. inhibidores de tirosin kinasa.,"indicado como monoterapia para el tratamiento del carcinoma de células renales (ccr) avanzado.indicado en combinación con nivolumab para el tratamiento de primera línea del carcinoma de células renales (ccr) avanzado en adultos.indicado para el tratamiento de pacientes con carcinoma hepatocelular (chc) que han sido tratados previamente con un inhibidor de la tirosina quinasa (tki).indicado como monoterapia para el tratamiento de pacientes adultos y adolescentes de 12 años o más con carcinoma diferenciado de tiroides (cdt) localmente avanzado o metastásico, refractario o no apto para el yodo radiactivo (rai) que ha progresado durante o después de una terapia sistémica previa dirigida ",aptimetyx
217m2019 ssa,aptimetyx,cabozantinib,,ql01xe99  otros principios activos. inhibidores de tirosin kinasa.,"indicado como monoterapia para el tratamiento del carcinoma de células renales (ccr) avanzado.indicado en combinación con nivolumab para el tratamiento de primera línea del carcinoma de células renales (ccr) avanzado en adultos.indicado para el tratamiento de pacientes con carcinoma hepatocelular (chc) que han sido tratados previamente con un inhibidor de la tirosina quinasa (tki).indicado como monoterapia para el tratamiento de pacientes adultos y adolescentes de 12 años o más con carcinoma diferenciado de tiroides (cdt) localmente avanzado o metastásico, refractario o no apto para el yodo radiactivo (rai) que ha progresado durante o después de una terapia sistémica previa dirigida ",aptimetyx
