num,farmaco,forma,concen,fraccion,den_dist,registro,titular,indicacion
357,ciprofibrato,capsula,100 mg,iv,oroxadin,296m92 ssa,"sanofi-aventis de mexico, s.a. de c.v.",hipolipemiante.
358,ciprofloxacino,tableta,250 mg   y   500 mg,iv,ciproxina,261m87 ssa,"bayer de mexico, s.a. de c.v.",antimicrobiano (quinolona) para infecciones ocasionadas porgermenes sensibles.
359,ciprofloxacino,solucion(inyectable),400 mg /200 ml,iv,ciproxina,038m90 ssa,"bayer de mexico, s.a. de c.v.",antimicrobiano (quinolona) para infecciones ocasionadas porgermenes sensibles.
360,ciprofloxacino,suspension,250 mg / 5ml,iv,ciproxina,280m98 ssa,"bayer de mexico, s.a. de c.v.",antimicrobiano (quinolona).
361,"ciprofloxacino, clorhidrato de /fenazopiridina, clorhidrato de",tableta,500 mg / 100 mg,iv,vodelan,242m2004 ssa,"siegfried rhein, s.a. de c.v.","tratamiento de infecciones urinarias, con accion bactericidacontra bacterias gram positiva y gram negativa susceptibles."
362,"ciprofloxacino, clorhidrato de /hidrocortisona / lidocaina,clorhidrato de",suspension,2mg / 10 mg / 50 mg /1 ml,iv,oto eni,256m2000 ssa,"laboratorios grossman, s.a.","antimicrobiano otico, analgesico otico."
363,"ciproterona, acetato de",tableta,50 mg   y   100 mg,iv,androcur,341m79 ssa,"bayer de mexico, s.a. de c.v.",antiandrogeno oral.
364,"ciproterona, acetato de /estradiol, valerato de",tableta,1 mg / 2 mg,iv,climene,187m92 ssa,"bayer de mexico, s.a. de c.v.",terapia de reemplazo hormonal.
365,"ciproterona, acetato de /etinilestradiol",tableta,2 mg / 0.035 mg,iv,diane,081m80 ssa,"bayer de mexico, s.a. de c.v.",antiandrogeno oral.
366,"citalopram, bromhidrato de",tableta,20 mg,iv,seropram,572m95 ssa,h. lundbeck a/s,antidepresivo.
367,citarabina,solucion(inyectable),500 mg,iv,cytosar-u,74316 ssa,"pfizer, s.a. de c.v.",antineoplasico.
368,citicolina sodica,solucion(inyectable),1000 mg / 4 mg,iv,somazina,344m2003 ssa,"ferrer internacional, s.a.",vasodilatador cerebral.
369,citicolina sodica,comprimido,500 mg,iv,somazina,508m2003 ssa,"ferrer internacional, s.a.",vasodilatador cerebral.
370,citidin 5'-monofosfato disodico /uridin 5'-trifosfato trisodico,solucion(inyectable),( 1 0 mg / 6 mg) /2 ml,iv,nucleo cmp,82920 ssa,"ferrer internacional, s.a.",antineuritico.
371,citidin 5'-monofosfato disodico /uridin 5'-trifosfato trisodico,capsula,5 mg / 3 mg,iv,nucleo cmp forte,83301 ssa,"ferrer internacional, s.a.",auxiliar en las neuropatias perifericas.
372,citrato de sodio /laurilsulfato,suspension,90 mg / 9 mg,iv,microlax,60013 ssa,"janssen-cilag, s.a. de c.v.","auxiliar en el alivio del estrenimiento transitorio y ocasional, eimpactacion fecal. prepraracion para examenes de rayos x yrectoscopia."
373,claritromicina,tableta(liberacion prolongada),500 mg,iv,klaricid o. d.,350m97 ssa,"abbott laboratories de mexico,s.a. de c.v.",a  n  t i b  i o  t i c  o    ( m   a  c  r o  l i d  o  )  para infecciones ocasionadas porgermenes sensibles.
374,claritromicina,suspension,125mg / 5 ml    y250 mg / 5 ml,iv,klaricid  12h,086m91 ssa,"abbott laboratories de mexico,s.a. de c.v.",a  n  t i b  i o  t i c  o    ( m   a  c  r o  l i d  o  )  para infecciones ocasionadas porgermenes sensibles.
375,claritromicina,tableta,"250 mg, 500 mg",iv,klaricid hp,335m93 ssa,"abbott laboratories de mexico,s.a. de c.v.",a  n  t i b  i o  t i c  o    ( m   a  c  r o  l i d  o  )  para infecciones ocasionadas porgermenes sensibles.
376,"claritromicina, lactobionato de",solucion(inyectable),500 mg / 10 ml,iv,klaricid i. v.,239m94 ssa,"abbott laboratories de mexico,s.a. de c.v.",a  n  t i b  i o  t i c  o    ( m   a  c  r o  l i d  o  )  para infecciones ocasionadas porgermenes sensibles.
377,"cleboprida, malato acido de",solucion,6.25 mg / 100 ml   y10 mg / 100 ml,iv,eborix,503m2003 ssa,"industrias farmaceuticas almirall, s.a.","estimulante de la motilidad gastrointestinal, procinetico."
378,"cleboprida, malato acido de",comprimido,500 mcg,iv,eborix,228m2006 ssa,"industrias farmaceuticas almirall, s.a.","procinetico, antiemetico."
379,"cleboprida, malato acido de /simeticona",capsula,0.5 mg / 200 mg,iv,dimoflax,413m2003 ssa,"industrias farmaceuticas almirall, s.a.","antiespasmodico, antiflatulento, antiemetico."
380,"clindamicina, clorhidrato de",capsula,300 mg,iv,dalacin c,76372 ssa,"pfizer, s.a. de c.v.",antibiotico para infecciones ocasionadas por bacteriassusceptibles.
381,"clindamicina, clorhidrato depalmitato de",solucion,75 mg / 5 ml,iv,dalacin c,84560 ssa,"pfizer, s.a. de c.v.",antibiotico (macrolido) para infecciones ocasionadas porgermenes sensibles.
382,"clindamicina, fosfato de",crema,2 g / 100 g,iv,dalacin v,158m92 ssa,"pfizer, s.a. de c.v.",antimicrobiano vaginal para infecciones ocasionadas porgermenes sensibles.
383,"clindamicina, fosfato de",solucion(inyectable),150 mg / 1 ml,iv,dalacin c,84745 ssa,"pfizer, s.a. de c.v.",antibiotico para infecciones ocasionadas por bacteriassusceptibles.
384,"clindamicina, fosfato de",solucion,10 mg / 1 ml,iv,dalacin t,115m86 ssa,"pfizer, s.a. de c.v.",auxiliar para el tratamiento de acne vulgar.
385,"clindamicina, fosfato de",gel,1 g / 100 ml,iv,dalacin t,439m93 ssa,"pfizer, s.a. de c.v.",tratamiento de acne vulgar.
386,"clindamicina, fosfato de",ovulo,100 mg,iv,dalacin v,484m2000 ssa,"pfizer, s.a. de c.v.",antibiotico (macrolido) para infecciones ocasionadas porgermenes sensibles.
387,"clindamicina, fosfato de /ketoconazol",tableta,100 mg / 800 mg,iv,femisan 3d,257m2005 ssa,"laboratorios grossman, s.a.",antibiotico y antimicotico vaginal.
388,"clindamicina, fosfato de /ketoconazol",crema,2 g / 8 g / 100 g y 2 g /16 g / 100 g,iv,femisan,481m2002 ssa,"laboratorios grossman, s.a.","vaginitis bacteriana, preventivo de ruptura prematura demembranas en mujeres embarazadas con vaginosis."
389,clioquinol / fluocinonida,gel,3 g / 50 mg / 100 g,iv,topsyn-y,78905 ssa,"productos farmaceuticos, s.a. de c.v.","antiinflamatorio topico, antiseptico de aplicacion cutanea."
390,clobazam,comprimido,10 mg,ii,frisium,85925 ssa,"sandoz, s.a. de c.v.",ansiolitico.
391,"clobenzorex, clorhidrato de",capsula,30 mg,iii,asenlix,82946 ssa,"grimann, s.a. de c.v.",anorexigenico.
392,"clobenzorex, clorhidrato de",tableta(liberacion prolongada),60 mg,iii,itravil ap,053m2010 ssa,"investigacion farmaceutica, s.a. de c.v.",anorexigenico.
393,"clobetasol, propionato de",unguento,0.044 g / 100 g,iv,dermatovate,82163 ssa,"glaxo wellcome, s.a.",antiinflamatorio esteroideo.
394,"clobetasol, propionato de",crema,0.044 g / 100 g,iv,dermatovate,82021 ssa,"glaxo wellcome, s.a.","tratamiento de la psoriasis, antiinflamatorio topico, liquenplano."
395,"clomifeno, citrato de",tableta,50 mg,iv,omifin,65748 ssa,"sanofi-aventis de mexico, s.a. de c.v.",inductor de la ovulacion.
396,clonazepam,comprimido,0.5 mg   y   2 mg,ii,rivotril,81988 ssa,f. hoffmann - la roche ltd.,"tratamiento para el trastorno de panico con o sin agorafobia.tratamiento adyuvante o en casos resistentes al tratamientode ausencias tipicas y atipicas , sindrome de lennox gastaut,convulsiones atonicas y tonicas clonicas, sindrome de west."
397,clonazepam,solucion,2.5 mg,ii,rivotril,82115 ssa,f. hoffmann - la roche ltd.,"tratamiento para el trastorno de panico con o sin agorafobia.tratamiento adyuvante o en casos resistentes al tratamientode ausencias tipicas y atipicas, sindrome de lennox gastaut,convulsiones atonicas y tonicas clonicas, sindrome de west."
398,"clonidina, clorhidrato de",tableta,"0.075 mg, 0.100 mgy  0.150 mg",iv,catapresan,69039 ssa,"boehringer ingelheim promeco,s.a. de c.v.",antihipertensivo.
399,"cloperastina, fendizoato de",suspension,360.7 mg / 100 ml,vi,privituss,592m2003 ssa,"laboratorios alpharma, s.a. de c.v.",antitusivo.
400,"cloperastina, fendizoato de",jarabe,354 mg / 100 ml,iv,sekisan,543m2003 ssa,"industrias farmaceuticas almirall, s.a.",antitusivo.
401,"cloperastina, fendizoato de",capsula,35 mg,vi,privituss perlas,397m2006 ssa,"laboratorios alpharma, s.a. de c.v.",antitusivo.
402,"clopidogrel, bisulfato de",tableta,75 mg   y   300 mg,iv,plavix,474m98 ssa,"sanofi-aventis de mexico, s.a. de c.v.",antitrombotico. prevencion de eventos aterotromboticos.
403,"clopidogrel, bisulfato de /acido acetilsalicilico",tableta,75 mg / 100 mg,iv,coplavix,291m2009 ssa,"sanofi-aventis de mexico, s.a. de c.v.",antiagregante plaquetario.
404,clorambucilo,tableta,2 mg,iv,leukeran,50481 ssa,"aspen mexico, s. de r.l. de c.v.",antineoplasico.
405,cloranfenicol levogiro,solucion,5 mg / 1 ml,iv,cloramfeniofteno,45834 ssa,"laboratorios sophia, s.a. de c.v.",antimicrobiano de uso oftalmico.
406,"clorfenamina,",solucion(inyectable),10 mg / ml,v,cloro-trimeton,38053 ssa,"bayer de mexico, s.a. de c.v.",antihistaminico.
407,"clorfenamina, maleato de",tableta(liberacion prolongada),8 mg   y   12 mg,vi,cloro-trimetonrepetabs,48397 ssa,"schering-plough, s.a. de c.v.",antihistaminico.
408,"clorfenamina, maleato de",tableta,4 mg,vi,cloro - trimeton,37684 ssa,"bayer de mexico, s.a. de c.v.",antialergico.
409,"clorfenamina, maleato de",jarabe,50 mg / 100 ml,vi,cloro - trimeton,38366 ssa,"bayer de mexico, s.a. de c.v.","rinitis alergica estacional, perenne, vasomotora, conjuntivitisalergica y reacciones anafilacticas."
410,"clorfenamina, maleato de /dextrometorfano,bromhidrato de / fenilefrina,clorhidrato de / paracetamol",capsula,2 mg/10 mg/5 mg/ 250 mg,vi,tabcin active,307m97 ssa,"bayer de mexico, s.a. de c.v.",auxiliar en el tratamiento sintomatico del resfriado comun.
411,"clorfenamina, maleato de /parametasona, acetato de",tableta,2 mg / 1 mg,iv,dilarmine,80452 ssa,"italmex, s.a.",antihistaminico y antiinflamatorio esteroideo para eltratamiento de las afecciones inflamatorias alergicas.
412,"clorfenamina, maleato de /parametasona, acetato de",suspension,40 mg / 20 mg /100 ml,iv,dilarmine,83593 ssa,"italmex, s.a.",antihistaminico. antiinflamatorio esteroideo. antialergico.
413,"clorfenamina, maleato de /dextrometorfano,bromhidrato de / fenilefrina,clorhidrato de / paracetamol",tableta,2 mg/10 mg/10 mg/500 mg,vi,tylex flu,329m93 ssa,"janssen-cilag, s.a. de c.v.",auxiliar en el tratamiento sintomatico del resfriado comun.
414,"clorfenamina, maleato de /fenilefrina, clorhidrato de",capsula(liberacion prolongada),8 mg/20 mg,vi,tempocaps,66930 ssa,"productos medix, s.a. de c.v.",descongestivo nasal. antihistaminico.
415,"clorfenamina, maleato de /fenilefrina, clorhidrato de /paracetamol",tableta,2 mg/5 mg/500 mg,vi,desenfriol d,55563 ssa,"bayer de mexico, s.a. de c.v.",auxiliar en el tratamiento sintomatico del resfriado comun.
416,"clorfenamina, maleato de /fenilefrina, clorhidrato de /paracetamol",comprimido,4 mg/5 mg/500 mg,vi,rinofren,61095 ssa,"productos cientificos, s.a. de c.v.",auxiliar en el tratamiento sintomatico del resfriado comun.
417,"clorfenamina, maleato de /fenilefrina, clorhidrato de /paracetamol",solucion,0.04 g / 0.05 g / 3 g /100 ml,iv,flavit-av,81483 ssa,"grimann, s.a. de c.v.","descongestivo, antihistaminico, analgesico y antipiretico."
418,"clorfenamina, maleato de /paracetamol",solucion,0.50 mg/80 mg/1 ml,vi,desenfriol-ito,52003nf ssa,"bayer de mexico, s.a. de c.v.",auxiliar en el tratamiento sintomatico del resfriado comun.
419,"clorfenamina, maleato de /paracetamol",comprimido,0.75 mg/80 mg,vi,gentil-ito,78129 ssa,"laboratorios senosiain, s.a. de c.v.",auxiliar en el tratamiento sintomatico del resfriado comun.
420,"clorfenamina, maleato deamantadina,  clorhidrato deparacetamol",tableta,"3 mg, 50 mg, 375 mg",vi,xl-3 vr,049m2010 ssa,"genomma laboratories mexico, s.a. de c.v.",auxiliar en el tratamiento de resfriado comun.
421,"clorfenamina, maleato de/bromhidrato dedextrometorfano /clorhidrato de fenilefrina /paracetamol",capsula,2 mg/10 mg/5 mg/250 mg,vi,xl-3 xtra,188m2003 ssa,"genomma laboratories mexico, s.a. de c.v.",auxiliar en el tratamiento sintomatico del resfriado comun.
422,clorhidrato de tolperisona/paracetamol,capsula,50 mg/300 mg,iv,mydocalm-a,234m83 ssa,"productos farmaceuticos, s.a. de c.v.","analgesico no narcotico, relajante muscular."
423,"clormadinona, acetato de",tableta,2 mg   y   5mg,iv,lutoral,55962 ssa,"pfizer, s.a. de c.v.",progestageno oral.
424,"clormadinona, acetato de /mestranol",tableta,2 mg/80 mcg,iv,lutoral-e,56104 ssa,"pfizer, s.a. de c.v.",antibiotico para infecciones ocasionadas por bacteriassusceptibles.
425,"clormadinona, acetato de /mestranol",tableta,"blancas: mestranol 80mcg;verdes: mestranol 80mcg, clormadinona 2 mg.",iv,secuentex-21,62034 ssa,"pfizer, s.a. de c.v.",anticonceptivo hormonal.
426,"cloropiramina, clorhidrato de",solucion(inyectable),20 mg/2 ml,iv,avapena,36500 ssa,sandoz gmbh,antihistaminico.
427,"cloropiramina, clorhidrato de",tableta,25 mg,iv,avapena,38248 ssa,sandoz gmbh,antihistaminico.
428,"cloroquina, fosfato de",tableta,150 mg,iv,aralen,30336 ssa,"dinafarma, s.a. de c.v.",antipaludico.
429,clortalidona,tableta,50 mg,iv,higroton 50,71381 ssa,sandoz gmbh,diuretico.
430,cloruro de calcio  /cloruro de potasio /cloruro de sodio / lactatode sodio,solucion(inyectable),20 mg / 30 mg /600 mg / 310 mg /100 ml,i v,ringer conlactato de sodiobaxter,027m2020 ssa,"baxter, s.a. de c.v.","modificador de equilibrio hidrico y electrolitico, agentealcalinizante."
431,clorzoxazona /ketoprofeno,tableta,250 mg/50 mg,vi,reumophan,14110 ssa,"grisi hnos, s.a. de c.v.","relajante muscular, antiinflamatorio con accion analgesica."
432,clorzoxazona /ketoprofeno / carbonatode calcio,tableta,125 mg /25 mg /725 mg,vi,reumophan alka,0516m79 ssa,"grisi hnos, s.a. de c.v.","relajante muscular, antiinflamatorio con accion analgesica."
433,"clorzoxazona /ketoprofeno / piridoxina,clorhidrato de/ tiamina, clorhidratode",tableta,250 mg / 50 mg /50 mg / 50 mg,iv,reumophan vit,440m2002 ssa,"grisi hnos, s.a. de c.v.","relajante muscular, antiinflamatorio con accion analgesica,antineuritico."
434,clostridiopeptidasa a(colagenasa) / cloranfenicol,unguento,60 u / 1.00 g/100 g,iv,ulcoderma,80649 ssa,"abbott laboratories de mexico,s.a. de c.v.","a  n  t i b  i o  t i c  o    p  a  r a   i n  f e  c  c iones ocasionadas por germenessusceptibles, enzimatico fibrinolitico."
435,clotrimazol,crema,2 g/100 g,vi,canesten v,034m81 ssa,"bayer de mexico, s.a. de c.v.",antimicotico vaginal.
436,clotrimazol,crema,1 g/100 g,vi,canesten,78664 ssa,"bayer de mexico, s.a. de c.v.",antimicotico de amplio espectro.
437,clotrimazol,ovulo,200 mg   y   500 mg,vi,canesten v,217m2002 ssa,"bayer de mexico, s.a. de c.v.","antimicotico vaginal de amplio espectro para infeccionesvulvovaginales ocasionadas por hongos, levaduras y/otricomonas."
438,"clotrimazol /dexametasona,  acetato de",crema,1 g/ 0.04 g/100 g,iv,baycuten,153m80 ssa,"bayer de mexico, s.a. de c.v.","antimicotico, antiinflamatorio topico. para infeccionesocasionadas por hongos en la piel."
439,"clotrimazol /dexametasona, acetato de /neomicina, sulfato de",crema,(1 g/ 0.04 g/0.5 g)/100 g,iv,baycuten n,036m95 ssa,"bayer de mexico, s.a. de c.v.","para el tratamiento de dermatitis causada por infeccionbacteriana secundaria, asi como las causadas pordermatofitos, levaduras, mohos y otros hongos. para eltratamiento de eczemas de diversas etiologias y eczemas porcontacto, atopico, seborreico, numular y enneurodermatitis."
440,cobamamida /tiocolchicosido,solucion(inyectable),20 mg / 4 mg / 4 ml,iv,neuroflax,121m79 ssa,"dinafarma, s.a. de c.v.","relajante muscular, antineuritico."
441,"codeina, fosfato de /paracetamol",capsula,30 mg/500 mg,ii,tylex cd,117m93 ssa,"janssen-cilag, s.a. de c.v.",dolor leve a moderado.
442,colchicina,tableta,500 mcg   y   1 mg,iv,colchiquim,73204 ssa,"quimica y farmacia, s.a. de c.v.",auxiliar con el tratamiento de la gota y de la cirrosis hepatica.
443,"colistimetato, de sodio",solucion(inyectable),150 mg,iv,colmesdant,152m2015 ssa,"especificos stendhal, s.a. de c.v.",antibiotico para infecciones ocasionadas por bacteriassusceptibles.
444,complejo de polimaltosadoferrico equivalente ahierro elemental,solucion(inyectable),100 mg/2 ml,iv,ferranina im,67383 ssa,"takeda mexico, s.a. de c.v.",para el tratamiento de anemia ferropriva.
445,complejo de sacarato deoxido ferrico equivalente a(hierro elemental),solucion(inyectable),100 mg/5 ml,iv,venoferrum,65668 ssa,"takeda mexico, s.a. de c.v.",para el tratamiento de la anemia ferropriva.
446,complejo polimaltosadoferrico equivalente ahierro elemental,solucion,"3.125 g/100 ml,17.86g 100 ml y178.6 g/100 ml",iv,ferranina,105m80 ssa,"takeda mexico, s.a. de c.v.","en el tratamiento por deficiencia de hierro. suplementacionen lactantes, embarazo y lactancia"
447,"condroitina, sulfato sodico de",tableta,800 mg,iv,condrosulf,445m2004 ssa,"laboratorios corne, s.a. de c.v.",auxiliar en el tratamiento de la osteoartritis.
448,condroitina / diacereina,tableta,600 mg / 50 mg,iv,cartigen nf,106m2012 ssa,"representaciones e investigacionesmedicas,                                  s.a. de c.v.","auxiliar en el tratamiento de artritis reumatoide, osteoartritis yosteoartrosis."
449,"condroitina, sulfato sodico de /glucosamina, sulfato de",polvo,1200 mg/1500 mg,iv,vartaloncompositum,302m2002 ssa,"asofarma de mexico, s.a. de c.v.","auxiliar en el tratamiento de la osteoartrosis, condro protector."
450,crospovidona,polvo,2 g,vi,logical,79168 ssa,"armstrong laboratorios de mexico,s.a. de c.v.","restaurador de la flora intestinal, antidiarreico."
451,crotamiton,crema,10 g / 100 g,vi,eurax,85901 ssa,"glaxosmithkline consumer healthcaremexico, s. de r.l. de c.v.","escabicida, pediculicida, antipruriginoso."
452,cumarina / troxerutina,tableta,30 mg/180 mg,iv,venalot depot,81106 ssa,"eurofarma laboratorios, s.a.",sindrome varicoso.
453,dabigatran,capsula,"75 mg, 110 mg   y150 mg",iv,pradaxar,358m2008 ssa,"boehringer ingelheim promeco,s.a. de c.v.","prevencion de eventos tromboembolicos(evt) en pacientes que hansido sometidos a cirugia ortopedica mayor. prevencion de eventovascular cerebral (evc), embolismo sistemico y reduccion demortalidad vascular en pacientes con fibrilacion auricular.tratamiento de trombosis venosa profunda (tvp) aguda y/o emboliapulmonar (ep) y prevencion de muerte relacionada. prevencion detrombosis venosa profunda recurrente y/o embolia pulmunar yprevencion de muerte relacionada."
454,danazol,capsula,100 mg   y   200 mg,iv,ladogal,421m79 ssa,"sanofi-aventis de mexico, s.a. de c.v.",para el tratamiento de la endometriosis y mastopatiafibroquistica.
455,dapagliflozina propanodiol,tableta,5 mg   y   10 mg,iv,forxiga,049m2013 ssa,"astrazeneca, s.a. de c.v.","para el tratamiento de la diabetes mellitus tipo 2. para reducir elriesgo de hospitalizacion por insuficiencia cardiaca en adultos condiabetes mellitus tipo 2 y enfermedad cardiovascular estblecida  omultiples factores de riesgo cardiovascular, para el tratamiento deinsuficiencia cardiaca con fraccion de eyeccion reucida. estaindicado para la prevencion del deterioro de nefropatia en pacientescon diabetes mellitus tipo 2. indicado en adultos para el tratamientode enfermedad renal cronica."
456,dapoxetina,tableta,30 mg   y   60 mg,iv,priligy,132m2009 ssa,"laboratorios menarini, s.a.",eyaculacion precoz.
457,daptomicina,solucion(inyectable),350 mg   y   500 mg,iv,cubicine,397m2008 ssa,merck sharp & dohme b.v.,antibiotico para infecciones ocasionadas por bacterias gram-positivas.
458,"darifenacina, bromhidrato de",comprimido(liberacion prolongada),7.5 mg   y   15.0 mg,iv,emselex,612m2005 ssa,"aspen mexico, s. de r.l. de c.v.",para el tratamiento de la vejiga hiperactiva.
459,"darunavir, etanolato de",tableta,"75 mg, 150 mg,400 mg y 600 mg",iv,prezista,076m2007 ssa,"janssen-cilag, s.a. de c.v.",tratamiento de la infeccion por el virus de inmunodeficienciahumana (vih).
460,decanoato de testosterona/ isocaproato detestosterona /fenilpropionato detestosterona / propionatode testosterona,solucion(inyectable),100 mg /60 mg /60 mg /30 mg /1ml,i v,sostenon 250,50064 ssa,aspen pharma pty ltd,"homonoterapia androgenica. terapia de reemplazo contestosterona en hombres con condiciones asociadas conhipogonadismo primario y secundario, congenito o adquirido."
461,deferasirox,comprimido(dispersable),"1  2  5    m   g  ,  2 50 mg   y500 mg",iv,exjade,192m2006 ssa,novartis pharma ag,"tratamiento de la hemosiderosis transfusional en mayores de2 anos. tratamiento de la sobrecarga cronica de hierro enpacientes que padecen sindromes talasemicos nodependientes de transfusiones (ntdt, por sus siglas eningles) en mayores de 10 anos."
462,deferasirox,comprimido,"90 mg,  180 mg    y360 mg",iv,jadinu,365m2017 ssa,novartis pharma ag,tratamiento de la sobrecarga cronica de hierro debido atransfusiones sanguineas (hemosiderosis transfusional) enpacientes adultos y pediatricos (a partir de los dos anos deedad). tratamiento de la sobrecarga cronica de hierro enpacientes de por lo menos 10 anos de edad que padecensindromes talasemicos no dependientes de transfusiones.
463,deflazacort,tableta,6 mg   y   30 mg,iv,calcort,050m93 ssa,"sanofi-aventis de mexico, s.a. de c.v.",antiinflamatorio esteroideo.
464,degarelix,solucion(inyectable),8  0    m   g  / 4.2 ml y120 mg /3.0 ml,iv,firmagon ferring,143m2009 ssa,"ferring, s.a. de c.v.",para el tratamiento del cancer de prostata avanzado.
465,desflurano,solucion(para inhalacion),100 ml,iv,suprane,540m96 ssa,"baxter, s.a. de c.v.",anestesico general.
466,desloratadina,tableta,5 mg,iv,aviant,023m2001 ssa,"schering-plough, s.a. de c.v.",tratamiento de los sintomas asociados a la rinitis alergica yotras afecciones alergicas.
467,desloratadina (micronizada),jarabe,50 mg/100 ml,iv,aviant,058m2002 ssa,"schering-plough, s.a. de c.v.",antihistaminico.
468,"desmopresina, acetato de",solucion(para inhalacion),8  9   m   c  g  / ml y1340 mcg/ml,iv,minirin,520m96 ssa,"ferring, s.a. de c.v.","diabetes insipida, enuresis nocturna y nicturia."
469,"desmopresina, acetato de",tableta,89 mcg y 178 mcg,iv,minirin,197m97 ssa,"ferring, s.a. de c.v.","diabetes insipida, enuresis nocturna y nicturia."
470,desmopresina,solucion(inyectable),1  5   m   c  g  / ml   y30 mcg / 2 ml,iv,octostim,489m99 ssa,ferring gmbh,"tratamiento de tiempos de coagulacion prolongados, tiemposde sangrados prolongados y trastornos plaquetarios."
471,desmopresina,tableta(sublingual),"60 mcg, 120 mcg   y240 mcg",iv,minirin melt,021m2009 ssa,"ferring, s.a. de c.v.","antidiuretico. diabetes insipida, enuresis nocturna y nicturia."
472,desogestrel,tableta,75 mg,iv,cerazette,331m99 ssa,"schering-plough, s.a. de c.v.",anticonceptivo hormonal oral.
473,desogestrel /etinilestradiol,tableta,0.15 mg / 0.02 mg,iv,mercilon,001m93 ssa,"schering-plough, s.a. de c.v.",anticonceptivo.
474,desogestrel /etinilestradiol,tableta,0.15 mg / 0.03 mg,iv,marvelon,298m87 ssa,"schering-plough, s.a. de c.v.",anticonceptivo.
475,desogestrel/etinilestradiol,tableta,"0.050 mg/ 0.035 mg,0.100 mg/ 0.030 mg,0.150 mg/ 0.030 mg",iv,novial,357m2002 ssa,aspen pharma pty ltd,anticonceptivo.
476,"desvenlafaxina, monohidrato desuccinato de",tableta(liberacion prolongada),50 mg   y   100 mg,iv,pristiq,016m2009 ssa,"pfizer, s.a. de c.v.",trastorno depresivo mayor y sintomas vasomotoresasociados con la menopausia.
477,dexametasona,tableta,4 mg   y   6 mg,iv,decorex,218m2006 ssa,"laboratorios pisa, s.a. de c.v.",corticosteroide sistemico.
478,dexametasona,tableta,0.5 mg/ 0.75 mg,iv,alin,61311 ssa,"productos farmaceuticos, s.a. de c.v.",corticosteroide sistemico.
479,dexametasona /fenilbutazona,tableta,0.50 mg / 100 mg,iv,dibutasona,80385 ssa,"laboratorios diba, s.a.","analgesico, antiinflamatorio no esteroideo."
480,"dexametasona,21-isonicotinato de",suspension(inyectable),4    m   g  / 1   m   l   y8 mg /2 ml,iv,alin depot,86159 ssa,"productos farmaceuticos, s.a. de c.v.",corticoesteroide sistemico.
481,dexametasona / tobramicina,suspension,1 mg / 3 mg / 1 ml,iv,tobradex,161m91 ssa,novartis pharma ag,"procesos infecciosos que cursan con inflamacion de laconjuntiva palpebral, bulbar, cornea, segmento anterior delojo en uveitis cronica anterior, dano corneal y comoprofilactico en la inflamacion/infeccion posquirurgica."
482,dexametasona / tobramicina,unguento,1 mg / 3 mg / 1 g,iv,tobradex,228m92 ssa,novartis pharma ag,"procesos infecciosos que cursan con inflamacion de laconjuntiva palpebral, bulbar, cornea, segmento anterior delojo en uveitis cronica anterior, dano corneal y comoprofilactico en la inflamacion/infeccion posquirurgica."
483,dexketoprofeno detrometamol,solucion(inyectable),50 mg/2 ml,iv,stadium,551m2004 ssa,"grimann, s.a. de c.v.",analgesico no narcotico.
484,dexketoprofeno detrometamol,tableta,12.5 mg   y   25 mg,iv,stadium,506m2002 ssa,"grimann, s.a. de c.v.","analgesico, antiinflamatorio con accion analgesica."
485,dexlansoprazol,capsula(liberacion retardada),30 mg y 60 mg,iv,dexivant,068m2011 ssa,"takeda mexico, s.a. de c.v.",tratamiento de reflujo gastroesofagico.
486,dexmedetomidina,solucion(inyectable),200 mcg / 2 ml;8  0  m   c  g    / 20 ml;200 mcg /50 ml;400mcg / 100 ml,iv,precedex,207m2000 ssa,"pfizer, s.a. de c.v.",agonista de los receptores alfa-2-adrenergicos.
487,dexpantenol,pomada,5 g / 100 g,vi,bepanthen,589m2003 ssa,"bayer de mexico, s.a. de c.v.","reconstituyente y regenerador epitelial para la prevencion yel tratamiento de la piel rozada, irritada, agrietada o conquemaduras leves. para la prevencion y tratamiento de ladermatitis de panal. tratamiento de fisuras mamarias y delpezon, cicatrizacion de heridas, fisuras, erosiones cutaneas yxerosis cutanea. alivio del ardor y la comezon. auxiliar en eltransplante de piel (injertos)."
488,"dexrazoxano, clorhidrato de",solucion(inyectable),500 mg,iv,cardioxane,057m99 ssa,"asofarma de mexico, s.a. de c.v.",prevencion de la cardiotoxicidad inducida por antraciclinas enpacientes bajo terapia antineoplasica.
489,dextrometorfano /guaifenesina / paracetamol,supositorio,7.5 mg / 50 mg /100 mg,iv,megal,70443 ssa,"industria farmaceutica andromaco,s.a. de c.v.","expectorante, antitusivo, analgesico, antipiretico."
490,"dextrometorfano,bromhidrato de",capsula,30 mg,vi,mucocalm,377m2002 ssa,"boehringer ingelheim promeco,s.a. de c.v.",antitusivo.
491,"dextrometorfano,bromhidrato de",capsula(liberacion prolongada),30 mg,vi,athos,60619 ssa,"productos medix, s.a. de c.v.",antitusivo.
492,"dextrometorfano,bromhidrato de / clorfenamina,maleato de / amonio, cloruro de",jarabe,0.250 g / 0.020 g /2.500 g,iv,torfadrin,71455 nf ssa,"streger, s.a.","sedante de la tos, expectorante."
