nombre_producto,sustancia,forma_farm,lab,presentacion
dexabion,"cianocobalamina (vitamina b12),                                dexametasona,                                dexametasona, fosfato de,                                lidocaina,                                lidocaina, clorhidrato de,                                piridoxina,                                tiamina,                                tiamina hcl (vitamina b1),                                vitamina b12 (cobalamina, cianocobalamina, hidroxocobalamina),                                vitamina b6 (piridoxina)",solucion,procter & gamble manufactura,"1 caja, 2 ampolleta no. i + ampolleta no.ii,"
dexabion,"cianocobalamina (vitamina b12),                                dexametasona,                                dexametasona, fosfato de,                                lidocaina,                                lidocaina, clorhidrato de,                                piridoxina,                                tiamina,                                tiamina hcl (vitamina b1),                                vitamina b12 (cobalamina, cianocobalamina, hidroxocobalamina),                                vitamina b6 (piridoxina)",solucion,procter & gamble manufactura,"1 caja, 4 ampolleta no. i + ampolleta no.ii,"
dexabion,"cianocobalamina (vitamina b12),                                dexametasona,                                dexametasona, fosfato de,                                lidocaina,                                lidocaina, clorhidrato de,                                piridoxina,                                tiamina,                                tiamina hcl (vitamina b1),                                vitamina b12 (cobalamina, cianocobalamina, hidroxocobalamina),                                vitamina b6 (piridoxina)",solucion,procter & gamble manufactura,"1 caja, 1 ampolleta(s), 1 ml,"
dexabion,"cianocobalamina (vitamina b12),                                dexametasona,                                dexametasona, fosfato de,                                lidocaina,                                lidocaina, clorhidrato de,                                piridoxina,                                tiamina,                                tiamina hcl (vitamina b1),                                vitamina b12 (cobalamina, cianocobalamina, hidroxocobalamina),                                vitamina b6 (piridoxina)",solucion,procter & gamble manufactura,"1 caja, 1 ampolleta(s), 2 ml,"
dexabion,"cianocobalamina (vitamina b12),                                dexametasona,                                dexametasona, fosfato de,                                lidocaina,                                lidocaina, clorhidrato de,                                piridoxina,                                tiamina,                                tiamina hcl (vitamina b1),                                vitamina b12 (cobalamina, cianocobalamina, hidroxocobalamina),                                vitamina b6 (piridoxina)",solucion,procter & gamble manufactura,"1 caja, 2 ampolleta(s), 2 ml,"
dexabion,"cianocobalamina (vitamina b12),                                dexametasona,                                dexametasona, fosfato de,                                lidocaina,                                lidocaina, clorhidrato de,                                piridoxina,                                tiamina,                                tiamina hcl (vitamina b1),                                vitamina b12 (cobalamina, cianocobalamina, hidroxocobalamina),                                vitamina b6 (piridoxina)",solucion,procter & gamble manufactura,"1 caja, 4 ampolleta(s), 2 ml,"
dexabion,"cianocobalamina (vitamina b12),                                dexametasona,                                dexametasona, fosfato de,                                lidocaina,                                lidocaina, clorhidrato de,                                piridoxina,                                tiamina,                                tiamina hcl (vitamina b1),                                vitamina b12 (cobalamina, cianocobalamina, hidroxocobalamina),                                vitamina b6 (piridoxina)",solucion,procter & gamble manufactura,"1 caja, 1 jeringa(s) prellenada(s) doble camara, 3 ml,"
dexabion,"cianocobalamina (vitamina b12),                                dexametasona,                                dexametasona, fosfato de,                                lidocaina,                                lidocaina, clorhidrato de,                                piridoxina,                                tiamina,                                tiamina hcl (vitamina b1),                                vitamina b12 (cobalamina, cianocobalamina, hidroxocobalamina),                                vitamina b6 (piridoxina)",solucion,procter & gamble manufactura,"1 caja, 2 jeringa(s) prellenada(s) doble camara, 3 ml,"
dexabion,"cianocobalamina (vitamina b12),                                dexametasona,                                dexametasona, fosfato de,                                lidocaina,                                lidocaina, clorhidrato de,                                piridoxina,                                tiamina,                                tiamina hcl (vitamina b1),                                vitamina b12 (cobalamina, cianocobalamina, hidroxocobalamina),                                vitamina b6 (piridoxina)",solucion,procter & gamble manufactura,"1 caja, 3 jeringa(s) prellenada(s) doble camara, 3 ml,"
dexabion,"cianocobalamina (vitamina b12),                                dexametasona,                                dexametasona, fosfato de,                                lidocaina,                                lidocaina, clorhidrato de,                                piridoxina,                                tiamina,                                tiamina hcl (vitamina b1),                                vitamina b12 (cobalamina, cianocobalamina, hidroxocobalamina),                                vitamina b6 (piridoxina)",solucion,procter & gamble manufactura,"1 caja, 5 jeringa(s) prellenada(s) doble camara, 3 ml,"
dexafrin ofteno,dexametasona,solucion oftalmica,sophia,"1 caja , 1 frasco gotero , 5 ml"
dexametasona,dexametasona,solucion inyectable,amsa,"1 caja, 1 ampolleta(s), 2 ml, 8/2 mg/ml"
dexametasona,dexametasona,solucion inyectable,amsa,"1 caja, 2 ampolleta(s), 2 ml, 8/2 mg/ml"
dexametasona,dexametasona,solucion inyectable,amsa,"1 caja, 1 frasco(s) ampula, 2 ml, 8/2 mg/ml"
dexametasona - neomicina,"dexametasona,                                neomicina",solucion oftalmica,amsa,"1 caja, 1 frasco con gotero, 10 ml,"
dexeryl,"aceite mineral (parafina liquida),                                glicerina,                                vaselina",crema,pierre-fabre,
dexeryl,"aceite mineral (parafina liquida),                                glicerina,                                vaselina",crema dermica,pierre-fabre,
dexidex,nitazoxanida,tabletas recubiertas,lakeside,"1 caja , 6 tabletas recubiertas , 500  miligramos"
dexidex,nitazoxanida,suspension oral,lakeside,"1 caja , 1 frasco con polvo , 30 ml"
dexivant,dexlansoprazol,capsulas,takeda mexico,"1 frasco(s), 14 capsulas de liberacion prolongada, 30 miligramos"
dexivant,dexlansoprazol,capsulas,takeda mexico,"1 frasco(s), 14 capsulas de liberacion prolongada, 60 miligramos"
dexivant,dexlansoprazol,capsulas,takeda mexico,"1 caja, blister, 14 capsulas de liberacion prolongada, 30 miligramos"
dexivant,dexlansoprazol,capsulas,takeda mexico,"1 caja, blister, 14 capsulas de liberacion prolongada, 60 miligramos"
dexivant,dexlansoprazol,capsulas,takeda mexico,"1 caja, blister, 28 capsulas de liberacion prolongada, 60 miligramos"
dexivant,dexlansoprazol,capsulas,takeda mexico,"1 caja, blister, 28 capsulas de liberacion prolongada, 30 miligramos"
dexivant,dexlansoprazol,capsulas,takeda mexico,"1 frasco(s), 28 capsulas de liberacion prolongada, 60 miligramos"
dexivant,dexlansoprazol,capsulas,takeda mexico,"1 frasco(s), 28 capsulas de liberacion prolongada, 30 miligramos"
dexivant,dexlansoprazol,capsulas,takeda mexico,"1 frasco(s), 7 capsulas de liberacion prolongada, 60 miligramos"
dexivant,dexlansoprazol,capsulas,takeda mexico,"1 caja, blister, 7 capsulas de liberacion prolongada, 30 miligramos"
dexivant,dexlansoprazol,capsulas,takeda mexico,"1 caja, blister, 7 capsulas de liberacion prolongada, 60 miligramos"
dexivant,dexlansoprazol,capsulas,takeda mexico,"1 frasco(s), 7 capsulas de liberacion prolongada, 30 miligramos"
dexivant,dexlansoprazol,capsulas,nycomed,
dexivant,dexlansoprazol,capsulas de liberacion retardada,takeda mexico,"frasco(s),14 capsulas de liberacion retardada,60 mg"
dexivant,dexlansoprazol,capsulas de liberacion retardada,takeda mexico,"frasco(s),14 capsulas de liberacion retardada,30 mg"
dexivant,dexlansoprazol,capsulas de liberacion retardada,takeda mexico,"frasco(s),28 capsulas de liberacion retardada,60 mg"
dexivant,dexlansoprazol,capsulas de liberacion retardada,takeda mexico,"1 caja,1 blister pack,28 capsulas de liberacion retardada,60 mg"
dexivant,dexlansoprazol,capsulas de liberacion retardada,takeda mexico,"frasco(s),28 capsulas de liberacion retardada,30 mg"
dexivant,dexlansoprazol,capsulas de liberacion retardada,takeda mexico,"1 caja,1 blister pack,28 capsulas de liberacion retardada,30 mg"
dexivant,dexlansoprazol,capsulas de liberacion retardada,takeda mexico,"frasco(s),7 capsulas de liberacion retardada,60 mg"
dexivant,dexlansoprazol,capsulas de liberacion retardada,takeda mexico,"frasco(s),7 capsulas de liberacion retardada,30 mg"
dexivant,dexlansoprazol,capsulas de liberacion retardada,takeda mexico,"1 caja,1 blister pack,7 capsulas de liberacion retardada,30 mg"
dexlin,nimesulida,tabletas,arlex,"1 caja, 1 envase(s) de burbuja, 10 tabletas, 100 miligramos"
dexlin,nimesulida,tabletas,arlex,"1 caja, 1 envase(s) de burbuja, 20 tabletas, 100 miligramos"
dexlin,nimesulida,tabletas,arlex,"1 caja, 1 envase(s) de burbuja, 30 tabletas, 100 miligramos"
dexol,"ambroxol,                                dextrometorfano",jarabe,andromaco,"1 caja , 1 frasco con vaso dosificador , 120 ml"
dextion,quetiapina,tabletas,ifa celtics,"1 caja, 30 tabletas, 25 mg"
dextion,quetiapina,tabletas,ifa celtics,"1 caja, 30 tabletas, 100 mg"
dextion,quetiapina,tabletas,ifa celtics,"1 caja, 60 tabletas, 100 mg"
dextion xr,quetiapina,tabletas de liberacion prolongada,ifa celtics,"1 caja, 10 tabletas de liberacion prolongada, 50 mg"
dextion xr,quetiapina,tabletas de liberacion prolongada,ifa celtics,"1 caja, 10 tabletas de liberacion prolongada, 300 mg"
dextion xr,quetiapina,tabletas de liberacion prolongada,ifa celtics,"1 caja, 30 tabletas de liberacion prolongada, 300 mg"
dextion xr,quetiapina,tabletas de liberacion prolongada,ifa celtics,"1 caja, 30 tabletas de liberacion prolongada, 50 mg"
dextion xr,quetiapina,tabletas de liberacion prolongada,ifa celtics,"1 caja, 60 tabletas de liberacion prolongada, 50 mg"
dextion xr,quetiapina,tabletas de liberacion prolongada,ifa celtics,"1 caja, 60 tabletas de liberacion prolongada, 300 mg"
dextrevit,"dextrosa,                                d-pantenol,                                vitamina b3 (nicotinico, acido, niacina, niacinamida, nicotinamida)",solucion inyectable,valeant,"1 caja,2 frasco(s) ampula,10 ml,"
dextrifyl,filgrastim,solucion inyectable,pisa,"1 caja , 5 frasco(s) ampula , 300 g"
diabinese,clorpropamida,tabletas,pfizer,"1 caja, 100 tabletas, 250 mg,"
diabion,"acido ascorbico (vitamina c),                                cianocobalamina (vitamina b12),                                cromo,                                magnesio,                                piridoxina,                                retinol (vitamina a),                                selenio,                                sulfato de zinc,                                tiamina, mononitrato de,                                vitamina b9 (acido folico),                                vitamina e (tocoferol)",capsulas,merck,"1 caja, 15 capsulas,"
diabion,"acido ascorbico (vitamina c),                                cianocobalamina (vitamina b12),                                cromo,                                magnesio,                                piridoxina,                                retinol (vitamina a),                                selenio,                                sulfato de zinc,                                tiamina, mononitrato de,                                vitamina b9 (acido folico),                                vitamina e (tocoferol)",capsulas,merck,"1 caja, 30 capsulas,"
diabion,"acido ascorbico (vitamina c),                                cianocobalamina (vitamina b12),                                cromo,                                magnesio,                                piridoxina,                                retinol (vitamina a),                                selenio,                                sulfato de zinc,                                tiamina, mononitrato de,                                vitamina b9 (acido folico),                                vitamina e (tocoferol)",capsulas,merck,"1 caja, 50 capsulas,"
diabion,"acido ascorbico (vitamina c),                                cianocobalamina (vitamina b12),                                cromo,                                magnesio,                                piridoxina,                                retinol (vitamina a),                                selenio,                                sulfato de zinc,                                tiamina, mononitrato de,                                vitamina b9 (acido folico),                                vitamina e (tocoferol)",capsulas,merck,"1 caja, 60 capsulas,"
diabion,"acido ascorbico (vitamina c),                                cianocobalamina (vitamina b12),                                cromo,                                magnesio,                                piridoxina,                                retinol (vitamina a),                                selenio,                                sulfato de zinc,                                tiamina, mononitrato de,                                vitamina b9 (acido folico),                                vitamina e (tocoferol)",capsulas,merck,"1 caja, 90 capsulas,"
diacneal crema,"acido glicolico,                                agua,                                agua termal,                                alcohol,                                alcohol cetilico,                                ciclometicona,                                dimeticonol,                                polimeros,                                polisorbato,                                potasio, sorbato de,                                retinol (vitamina a),                                sodio, hidroxido de",crema,pierre-fabre,"tubo,30 ml,"
diacneal crema,"acido glicolico,                                agua,                                agua termal,                                alcohol,                                alcohol cetilico,                                ciclometicona,                                dimeticonol,                                polimeros,                                polisorbato,                                potasio, sorbato de,                                retinol (vitamina a),                                sodio, hidroxido de",crema dermica,pierre-fabre,
dialeli a.f.,"ferroso, fumarato,                                vitamina b9 (acido folico)",tabletas,valdecasas,"1 caja,1 frasco(s),60 tabletas,"
dialeli a.f.,"ferroso, fumarato,                                vitamina b9 (acido folico)",tabletas,valdecasas,"1 caja,1 frasco(s),90 tabletas,"
diamel,"arandano, extracto de,                                lechuga, extracto de",capsulas,dermaceuticals,"frasco(s),30 capsulas,660 mg"
diamicron mr,gliclazida,comprimidos de liberacion prolongada,servier,"1 caja, 30 comprimidos de liberacion prolongada, 30 mg"
diamicron mr,gliclazida,comprimidos de liberacion prolongada,servier,"1 caja, 30 comprimidos de liberacion prolongada, 60 mg"
diamin,dihidroergocriptina,tabletas,grossman,
diane,"ciproterona, acetato de,                                etinilestradiol",tabletas,bayer de mexico,"1 caja , 21 tabletas"
diapar compuesto,"caolin,                                nifuroxazida,                                pectina",suspension,streger,"1 caja, 1 frasco(s), 90 ml,"
diaquertam,"acidos grasos omega 3,                                magnesio,                                omega 6, acidos grasos,                                quercetina,                                vitamina c (acido ascorbico)",capsulas,laboratorios grin,"1 frasco(s), 120 capsulas,"
diasorane,diflorasona,crema,darier,
diasorane,diflorasona,unguento,darier,
diasporal,"magnesio, citrato de",granulado,concordia,"1 caja, 20 sobre(s), 300 mg,"
diazolen,mebendazol,tabletas,degort s,
diben-hpc,"carbohidratos,                                fibra,                                grasas,                                hierro,                                proteinas,                                zinc",liquido,fresenius,"1 frasco(s), 200 ml,"
diben-hpc,"carbohidratos,                                fibra,                                grasas,                                hierro,                                proteinas,                                zinc",liquido,fresenius,"1 dispensador, 4 frasco(s), 200 ml,"
dibetid,glibenclamida,tableta,arlex,"1 caja, 1 envase(s) de burbuja, 30 tabletas, 5 miligramos"
dibetid,glibenclamida,tableta,arlex,"1 caja , 1 envase(s) de burbuja , 50 tabletas , 5  miligramos"
dibetid,glibenclamida,tabletas,arlex,"1 caja, 1 envase(s) de burbuja, 30 tabletas, 5 miligramos"
dibutasona,"dexametasona,                                fenilbutazona",grageas con capa enterica,diba,
dibutasona,"dexametasona,                                fenilbutazona",grageas con capa enterica,perrigo,"1 caja, 30 grageas con capa enterica,"
dical,"calcio,                                calcio, carbonato de,                                vitamina d3 (colecalciferol)",tabletas,grunenthal,"1 caja, 60 tabletas, 400 mg, 200 unidades internacionales"
dical,"calcio,                                calcio, carbonato de,                                vitamina d3 (colecalciferol)",tabletas,grunenthal,"1 frasco de polietileno , 60 tabletas"
dicetel,pinaverio,tabletas recubiertas,abbott,"1 caja,14 tabletas recubiertas,100 mg"
dicetel,pinaverio,tabletas recubiertas,abbott,"1 caja,28 tabletas recubiertas,100 mg"
dicetel,pinaverio,tabletas recubiertas,abbott,"1 caja,42 tabletas recubiertas,100 mg"
diclofenaco,diclofenaco,solucion oftalmica,amsa,"1 caja, 1 frasco gotero, 10 ml,"
diclofenaco,diclofenaco,solucion oftalmica,amsa,"1 caja, 1 frasco gotero, 15 ml,"
diclofenaco,diclofenaco,solucion oftalmica,amsa,"1 caja, 1 frasco gotero, 5 ml,"
diclofenaco sodico,diclofenaco sodico,solucion inyectable,amsa,"1 caja, 2 ampolleta(s), 3 ml, 75/3 mg/ml"
diclofenaco sodico,diclofenaco sodico,solucion inyectable,amsa,"1 caja, 4 ampolleta(s), 3 ml, 75/3 mg/ml"
diclofenaco sodico,diclofenaco sodico,solucion inyectable,amsa,"1 caja, 1 ampolleta(s), 3 ml, 75/3 mg/ml"
dicloran,diclofenaco,solucion inyectable,randall,
dicloxacilina,dicloxacilina,capsulas,amsa,"1 caja, 12 capsulas, 500 miligramos"
dicloxacilina,dicloxacilina,capsulas,amsa,"1 caja, 20 capsulas, 500 miligramos"
dicloxacilina,dicloxacilina,capsulas,amsa,"1 caja, 20 capsulas, 250 miligramos"
dicynone,etamsilato,capsulas,grunenthal,"1 caja, 20 capsulas, 500 miligramos"
dicynone,etamsilato,capsulas,grunenthal,"1 caja, 30 capsulas, 500 miligramos"
dicynone,etamsilato,solucion inyectable,grunenthal,"1 caja, 4 ampolleta(s), 250/2 mg/ml"
dicynone,etamsilato,solucion inyectable,grunenthal,"1 caja, 2 ampolleta(s), 250/2 mg/ml"
diestet,mazindol,tabletas,darier,"1 caja,14 tabletas,1 mg"
diestet,mazindol,tabletas,darier,"1 caja,14 tabletas,2 mg"
diestet,mazindol,tabletas,darier,"1 caja,24 tabletas,1 mg"
diestet,mazindol,tabletas,darier,"1 caja,24 tabletas,2 mg"
diestet,mazindol,tabletas,darier,"1 caja,30 tabletas,1 mg"
diestet,mazindol,tabletas,darier,"1 caja,30 tabletas,2 mg"
diestet,mazindol,tabletas,darier,"1 caja,48 tabletas,1 mg"
diestet,mazindol,tabletas,darier,"1 caja,48 tabletas,2 mg"
diestet,mazindol,tabletas,darier,"1 caja,7 tabletas,2 mg"
diestet,mazindol,tabletas,darier,"1 caja,7 tabletas,1 mg"
difel,telmisartan,tableta,aspen labs,"1 caja , 14 tabletas , 40  miligramos"
difel,telmisartan,tableta,aspen labs,"1 caja , 14 tabletas , 80  miligramos"
difel,telmisartan,tableta,aspen labs,"1 caja , 28 tabletas , 80  miligramos"
difel,telmisartan,tableta,aspen labs,"1 caja , 28 tabletas , 40  miligramos"
difel,telmisartan,tableta,aspen labs,"1 caja , 30 tabletas , 80  miligramos"
difel,telmisartan,tableta,aspen labs,"1 caja , 30 tabletas , 40  miligramos"
difenidol,difenidol,solucion inyectable,amsa,"1 caja, 2 ampolleta(s), 2 ml, 20 mg/ml"
difenidol,difenidol,solucion inyectable,cryopharma,
difepar,nifedipino,comprimidos de liberacion prolongada,armstrong,"1 caja, 10 comprimidos, 30 mg"
diflucan,fluconazol,solucion inyectable,pfizer,"1 caja, 1 frasco(s) ampula, 50 ml, 2 mg/ml"
difusel,fluconazol,capsulas,productos medix,"1 caja,1 capsulas,150 mg"
difusel,fluconazol,capsulas,productos medix,"1 caja,10 capsulas,100 mg"
difusel,fluconazol,capsulas,productos medix,"1 caja,2 capsulas,150 mg"
digamot,itoprida,tabletas,sanfer,"1 caja, 30 tabletas, 50 mg"
digamot,itoprida,tabletas,sanfer,"1 caja, 42 tabletas, 50 mg"
digamot,itoprida,tabletas,sanfer,"1 caja, 84 tabletas, 50 mg"
digecaps,silimarina,capsulas,gelcaps,"1 caja , 30 capsulas"
digecaps,silimarina,capsulas,gelcaps,"1 caja , 60 capsulas"
digenor,"dimeticona,                                metoclopramida",suspension,sanfer,"1 caja, 1 frasco de polietileno de alta densidad, 120 ml,"
digenor plus,"dimeticona,                                metoclopramida",capsulas,sanfer,"1 caja, 1 frasco(s), 20 capsulas,"
digenor plus,"dimeticona,                                metoclopramida",capsulas,sanfer,"1 caja, 1 frasco(s), 30 capsulas,"
digezanol,albendazol,suspension,hormona,
digezanol,albendazol,tabletas,hormona,"1 caja, 6 tabletas, 200 mg,"
dilacoran,verapamilo,solucion inyectable,abbott,"1 caja,1 ampolleta(s),5/2 mg/ml"
dilacoran,verapamilo,solucion inyectable,abbott,"1 caja,5 ampolleta(s),5/2 mg/ml"
dilacoran retard,verapamilo,tabletas de liberacion prolongada,abbott,"1 caja,10 tabletas de liberacion prolongada,240 mg"
dilacoran retard,verapamilo,tabletas de liberacion prolongada,abbott,"1 caja,15 tabletas de liberacion prolongada,180 mg"
dilacoran retard,verapamilo,tabletas de liberacion prolongada,abbott,"1 caja,20 tabletas de liberacion prolongada,120 mg"
dilacoran retard,verapamilo,tabletas de liberacion prolongada,abbott,"1 caja,20 tabletas de liberacion prolongada,240 mg"
dilacoran retard,verapamilo,tabletas de liberacion prolongada,abbott,"1 caja,30 tabletas de liberacion prolongada,240 mg"
dilacoran retard,verapamilo,tabletas de liberacion prolongada,abbott,"1 caja,30 tabletas de liberacion prolongada,120 mg"
dilacoran retard,verapamilo,tabletas de liberacion prolongada,abbott,"1 caja,30 tabletas de liberacion prolongada,180 mg"
dilar,parametasona,tabletas,novopharm,"1 caja, 15 tabletas, 6 miligramos"
dilar,parametasona,tabletas,novopharm,"1 caja, 30 tabletas, 2 miligramos"
dilar,parametasona,suspension inyectable,novopharm,"1 caja, 1 frasco(s) ampula, 40/2 mg/ml"
dilarmine,"clorfenamina,                                parametasona",suspension,italmex,"1 caja, 1 frasco(s), 100 ml,"
dilarmine,"clorfenamina,                                parametasona",tabletas,italmex,"1 caja, 25 tabletas,"
dilostop,loperamida,tabletas,productos farmaceuticos collins,"1 frasco(s), 12 tabletas,"
dilostop,loperamida,tabletas,productos farmaceuticos collins,"1 frasco(s), 4 tabletas,"
dilostop,loperamida,tabletas,productos farmaceuticos collins,"1 caja, 1 blister, 4 tabletas,"
dimefor,metformina,tabletas,siegfried rhein,"1 caja, 30 tabletas, 850 miligramos"
dimefor,metformina,tabletas,siegfried rhein,"1 caja, 30 tabletas, 500 miligramos"
dimefor,metformina,tabletas,siegfried rhein,"1 caja, 30 tabletas, 1000 miligramos"
dimefor,metformina,tabletas,siegfried rhein,"1 caja, 60 tabletas, 1000 miligramos"
dimefor,metformina,tabletas,siegfried rhein,"1 caja, 60 tabletas, 500 miligramos"
dimefor,metformina,tabletas,siegfried rhein,"1 caja, 60 tabletas, 850 miligramos"
dimefor g,"glibenclamida,                                metformina",tabletas,siegfried rhein,"1 caja, 30 tabletas, 500/2.5 mg/mg"
dimefor g,"glibenclamida,                                metformina",tabletas,siegfried rhein,"1 caja, 60 tabletas, 500/2.5 mg/mg"
dimefor g,"glibenclamida,                                metformina",tabletas,siegfried rhein,"1 caja, 60 tabletas, 500/5 mg/mg"
dimefor xr,metformina,tabletas de liberacion prolongada,siegfried rhein,"1 caja, 30 tabletas, 500 miligramos"
dimefor xr,metformina,tabletas de liberacion prolongada,siegfried rhein,"1 caja, 30 tabletas, 750 miligramos"
dimefor xr,metformina,tabletas de liberacion prolongada,siegfried rhein,"1 caja, 30 tabletas, 1000 miligramos"
dimefor xr,metformina,tabletas de liberacion prolongada,siegfried rhein,"1 caja, 60 tabletas, 750 miligramos"
dimefor xr,metformina,tabletas de liberacion prolongada,siegfried rhein,"1 caja, 60 tabletas, 500 miligramos"
dimegan,loratadina,capsulas,senosiain,"1 caja, 10 capsulas, 10 miligramos"
dimegan,loratadina,capsulas,senosiain,"1 caja, 20 capsulas, 10 miligramos"
dimegan,loratadina,jarabe,senosiain,"1 caja, 1 frasco(s), 120 ml,"
dimegan,loratadina,jarabe,senosiain,"1 caja, 1 frasco con vaso dosificador, 60 ml,"
dimegan,loratadina,solucion oral,senosiain,"1 caja, 1 frasco y pipeta graduada, 30 ml,"
dimegan-d,"fenilefrina,                                loratadina",capsulas de liberacion prolongada,senosiain,"1 caja, 10 capsulas de liberacion prolongada,"
dimegan-d,"fenilefrina,                                loratadina",capsulas de liberacion prolongada,senosiain,"1 caja, 20 capsulas de liberacion prolongada,"
dimegan-d,"fenilefrina,                                loratadina",jarabe,senosiain,"1 caja, 1 frasco(s), 60 ml,"
dimegan-d,"fenilefrina,                                loratadina",solucion,senosiain,"1 caja, 1 frasco y pipeta graduada, 60 ml,"
dimicaps,dimenhidrinato,capsulas,gelcaps,"1 caja,12 capsulas,"
dimicaps,dimenhidrinato,capsulas,gelcaps,"1 caja, 24 capsulas,"
dimodan,disopiramida,capsulas,sanfer,"1 caja, 20 capsulas, 100 mg"
dimoflax,"cleboprida,                                simeticona",capsulas,grunenthal,"1 caja, 15 capsulas,"
dimoflax,"cleboprida,                                simeticona",capsulas,grunenthal,"1 caja, 30 capsulas,"
dimoflax,"cleboprida,                                simeticona",capsulas,grunenthal,"1 caja, 45 capsulas,"
dimopen,amoxicilina,capsulas,bruluagsa,"1 caja, 12 capsulas, 250 miligramos"
dimopen,amoxicilina,capsulas,bruluagsa,"1 caja, 12 capsulas, 500 miligramos"
dimopen,amoxicilina,capsulas,bruluagsa,"1 caja, 15 capsulas, 500 miligramos"
dimopen,amoxicilina,capsulas,bruluagsa,"1 caja, 15 capsulas, 250 miligramos"
dimopen,amoxicilina,capsulas,bruluagsa,"1 caja, 48 capsulas, 250 miligramos"
dimopen,amoxicilina,capsulas,bruluagsa,"1 caja, 48 capsulas, 500 miligramos"
dimopen,amoxicilina,suspension,bruluagsa,"1 caja, 1 frasco con polvo para reconstituir, 100 ml, 250/5 mg/ml"
dimopen,amoxicilina,suspension,bruluagsa,"1 caja, 1 frasco con polvo para reconstituir, 100 ml, 500/5 mg/ml"
dimopen,amoxicilina,suspension,bruluagsa,"1 caja, 1 frasco con polvo, 60 ml, 250/5 mg/ml"
dimopen,amoxicilina,suspension,bruluagsa,"1 caja, 1 frasco con polvo, 60 ml, 500/5 mg/ml"
dimopen,amoxicilina,suspension,bruluagsa,"1 caja, 1 frasco con polvo, 75 ml, 250/5 mg/ml"
dimopen,amoxicilina,suspension,bruluagsa,"1 caja, 1 frasco con polvo, 75 ml, 500/5 mg/ml"
dimopen,amoxicilina,suspension,bruluagsa,"1 caja, 1 frasco con polvo, 90 ml, 250/5 mg/ml"
dimopen,amoxicilina,suspension,bruluagsa,"1 caja, 1 frasco con polvo, 90 ml, 500/5 mg/ml"
dimuxon,mometasona,suspension,apotex,"1 caja, 1 frasco dosificador, 18 ml, 140 dosis"
dinaflox,ciprofloxacino,tabletas,perrigo,"1 caja, 1 envase(s) de burbuja, 12 tabletas, 250 miligramos"
dinaflox,ciprofloxacino,tabletas,perrigo,"1 caja, 1 frasco(s), 8 tabletas, 500 miligramos"
dinafort,"lactobacillus plantarum,                                selenio,                                vitamina a (retinol),                                vitamina b12 (cianocobalamina),                                vitamina b6 (piridoxina),                                vitamina b9 (acido folico),                                vitamina c (acido ascorbico),                                zinc",capsulas,columbia,"1 caja, 1 frasco(s), 30 capsulas, 600 millones ufc"
dinamel,metformina,tabletas,liferpal,"1 caja,30 tabletas,500 mg"
dinamel,metformina,tabletas,liferpal,"1 caja,60 tabletas,500 mg"
dinitryl,hidralazina,solucion,alvartis,"1 caja, 5 ampolleta(s), 20 mg/ml"
dinorax,metformina,tabletas recubiertas,bruluart,"1 frasco de polietileno , 100 tabletas recubiertas , 850  miligramos"
dinorax,metformina,tabletas recubiertas,bruluart,"1 frasco de polietileno , 100 tabletas recubiertas , 500  miligramos"
dinorax,metformina,tabletas recubiertas,bruluart,"1 caja,30 tabletas recubiertas,850 mg"
dinorax,metformina,tabletas recubiertas,bruluart,"1 caja,30 tabletas recubiertas,500 mg"
dinorax c,"glibenclamida,                                metformina",tabletas recubiertas,bruluart,"1 frasco de polietileno , 100 tabletas recubiertas , 500/5  mg/mg"
dinorax c,"glibenclamida,                                metformina",tabletas recubiertas,bruluart,"1 caja,30 tabletas recubiertas,500/5 mg/mg"
dinorax c,"glibenclamida,                                metformina",tabletas recubiertas,bruluart,"1 caja , 30 tabletas recubiertas , 500/2.5  mg/mg"
dinorax c,"glibenclamida,                                metformina",tabletas recubiertas,bruluart,"1 frasco de polietileno , 60 tabletas recubiertas , 500/5  mg/mg"
dintrefergot,dimeticona,suspension,degort s,"1 caja,1 frasco(s),30 ml,"
diocaps,docusato de sodio,capsulas,senosiain,"1 caja, 30 capsulas, 100 mg"
diodoquin,diyodohidroxiquinoleina,suspension,pfizer,"1 frasco(s) , 120 ml"
diodoquin,diyodohidroxiquinoleina,tabletas,pfizer,"1 caja, 60 tabletas, 650 mg,"
diosmina - hesperidina,"diosmina,                                hesperidina",tabletas,amsa,"1 caja, 15 tabletas, 450/50 mg/mg"
diosmina - hesperidina,"diosmina,                                hesperidina",tabletas,amsa,"1 caja, 20 tabletas, 450/50 mg/mg"
diosmina - hesperidina,"diosmina,                                hesperidina",tabletas,amsa,"1 caja, 30 tabletas, 450/50 mg/mg"
diosmina - hesperidina,"diosmina,                                hesperidina",tabletas,amsa,"1 caja, 60 tabletas, 450/50 mg/mg"
diotexona,dimeticona,suspension,loeffler,"1 caja, 1 frasco gotero, 30 ml,"
diovan,valsartan,comprimidos recubiertos,novartis,"frasco(s),14 comprimidos recubiertos,80 mg"
diovan,valsartan,comprimidos recubiertos,novartis,"frasco(s),14 comprimidos recubiertos,160 mg"
diovan,valsartan,comprimidos recubiertos,novartis,"frasco(s),14 comprimidos recubiertos,320 mg"
diovan,valsartan,comprimidos recubiertos,novartis,"frasco(s),30 comprimidos recubiertos,160 mg"
diovan,valsartan,comprimidos recubiertos,novartis,"frasco(s),30 comprimidos recubiertos,80 mg"
