clave,descr,unidad,PA
010.000.2662.00,Piridostigmina. Gragea o Tableta Cada Gragea o Tableta contiene: Bromuro de piridostigmina 60 mg Envase con 20 Grageas.,Pieza,Piridostigmina
010.000.2671.00,Dihidroergotamina paracetamol - cafeína. Tableta Cada Tableta contiene: Metanosulfonato de Dihidroergotamina 1 mg Paracetamol 450 mg Cafeína 40 mg Envase con 20 Tableta,Pieza,Dihidroergotamina paracetamol - cafeina
010.000.2714.00,Complejo b. Tableta Comprimido o Cápsula. Cada tableta Comprimido o Cápsula contiene: Mononitrato o clorhidrato de Tiamina 100 mg. Clorhidrato de piridoxina 5 mg. Cianocobalamina 50 µg Envase con 30 Tabletas Comprimidos o Cápsu,Pieza,Complejo b
010.000.2737.00,Aminoacidos con Electrolitos. Solución Inyectable Al 8.5%. Cada 100ml Contiene: L- Isoleucina Unidad mg Mínimo 400 Máximo 620 L- Leucina Unidad mg Mínimo 520 Máximo 810 L- Lisina Unidad mg Mínimo 490 Máximo 870 L- Metionina Unidad mg Mínimo 250 Máximo 500 L- Fenilalanina Unidad mg Mínimo 380 Máximo 720 L- Treonina Unidad mg Mínimo 340 Máximo 460 L- Triptofano Unidad mg Mínimo 130 Máximo 160 L- Valina Unidad mg Mínimo 390 Máximo 680 Histidina Unidad mg Mínimo 240 Máximo 380 Cisteína o cistina Unidad mg Mínimo 0 Máximo 80 Tirosina Unidad mg Mínimo 30 Máximo 50 L- Alanina Unidad mg Mínimo 390 Máximo 1760 L- Arginina Unidad mg Mínimo 430 Máximo 880 L- Prolina Unidad mg Mínimo 350 Máximo 1000 L- Serina Unidad mg Mínimo 0 Máximo 930 Glicina (ac. Aminoacético) Unidad mg Mínimo 460 Máximo 1760 L-taurina Unidad mg Mínimo 0 Máximo 200 Acetato de sodio Unidad mEq/l Mínimo 70 Máximo 594 Potasio Unidad mEq/l Mínimo 60 Máximo 66 Cloruro de magnesio Unidad mg Mínimo 0 Máximo 102 Cl410 Fosfato dibásico de potasio Unidad mg Mínimo 400 Máximo 522 Acido L- Aspártico Unidad mg Mínimo 0 Máximo 410 Acido glutámico Unidad mg Mínimo 0 Máximo 710 Nitrógeno total Unidad g/l Mínimo 13.5 Máximo 16 *Pueden o no venir en la fórmula lo cual no modifica el efecto terapéutico deseado. Presen,Envase,Aminoacidos con electrolitos
010.000.2738.00,Aminoacidos Cristalinos. Solucion Inyectable Al 10% Adultos Cada 100ml Contiene    L- Isoleucina Unidad mg Mínimo 490 Máximo 720 L- Leucina Unidad mg Mínimo 719 Máximo 940 L- Lisina Unidad mg Mínimo 599 Máximo 720 L- Metionina Unidad mg Mínimo 294 Máximo 440 L- Fenilalanina Unidad mg Mínimo 440 Máximo 845 L- Treonina Unidad mg Mínimo 414 Máximo 520 L- Triptofano Unidad mg Mínimo 153 Máximo 210 L- Valina Unidad mg Mínimo 572 Máximo 800 Histidina Unidad mg Mínimo 290 Máximo 473 Cisteína o cistina Unidad mg Mínimo 0 Máximo 110 Tirosina Unidad mg Mínimo 0 Máximo 100 L- Alanina Unidad mg Mínimo 458 Máximo 2040 L- Arginina Unidad mg Mínimo 505 Máximo 1134 L- Prolina Unidad mg Mínimo 300  Máximo 1174 L- Serina Unidad mg Mínimo 420 Máximo 1092 L- Taurina Unidad mg Mínimo 0 Máximo 20 Glicina (ac. Aminoacético) Unidad mg Mínimo 540 Máximo 1280 Acido L- Aspártico Unidad mg Mínimo 0 Máximo 481 Acido glutámico Unidad mg Mínimo 0 Máximo 834 Acetato Unidad mEq/l Mínimo 0 Máximo 74itrógeno total. Unidad g/l Mínimo 15.5 Máximo 16.5 Pueden o no venir en la fórmula lo cual no modifica el efecto terapéutico deseado. Presentación ,Pieza,Aminoacidos cristalinos
010.000.2739.00,Dieta Polimerica A Base De Caseinato De Calcio O Proteinas Grasas Vitaminas Minerales. Polvo Cada 100 gramos contiene: Densidad energética Unidad Kcal/ml Mínimo 0.99 Máximo 1.06 Calorías Unidad Kcal Mínimo 412.5 Máximo 441.7 Hidratos de carbono Unidad g Mínimo 58.50 Máximo 68.00 Proteína: Unidad g Mínimo 15.80 Máximo 17.50 Histidina Unidad g Mínimo 0.40 Máximo 0.5600 Isoleucina Unidad g Mínimo 0.7035 Máximo 1.0135 Leucina Unidad g Mínimo 1.4050 Máximo 1.7670 Lisina Unidad g Mínimo 1.1080 Máximo 1.4525 Metionina Unidad g Mínimo 0.3925 Máximo 0.5256 Fenilalanina Unidad g Mínimo 0.7810 Máximo 0.9450 Treonina Unidad g Mínimo 0.6466 Máximo 0.8050 Triptofano Unidad g Mínimo 0.1833 Máximo 0.2450 Valina Unidad g Mínimo 0.8553 Máximo 1.2950 Arginina Unidad g Mínimo 0.6165 Máximo 0.6650 Acido aspártico Unidad g Mínimo 1.0500 Máximo 1.2310 Serina Unidad g Mínimo 0.8750 Máximo 0.8910 Acido glutámico Unidad g Mínimo 3.0100 Máximo 3.3530 Prolina Unidad g Mínimo 1.4700 Máximo 1.5630 3380 Alanina Unidad g Mínimo 0.4375 Máximo 0.4910 Cistina Unidad g Mínimo 0.0980 Máximo 0.7000 Tirosina Unidad g Mínimo 0.7414 Máximo 1.0150 Grasas Unidad g Mínimo 9.0 Máximo 15.80 Acidos grasos saturados Unidad g Mínimo 0.96 Máximo 2.30 Acido palmítico Unidad g Mínimo 0.67 Máximo 1.77 Acido esteárico Unidad g Mínimo 0.29 Máximo 0.36 Grasos insaturados Unidad g Mínimo 7.20 Máximo 12.62 Linoleico Unidad g Mínimo 5.8 Máximo 8.50 Linolénico Unidad g Mínimo 0.20 Máximo 0.20 Oleico Unidad g Mínimo 1.20 Máximo 4.00 Relación polinsaturados/saturados Unidad g Mínimo 0.11 Máximo 8.20 Colesterol Unidad g Mínimo 0.00 Máximo 0.02 Vitamina A Unidad U.I. Mínimo 1028.0 Máximo 1170.0 Vitamina D Unidad U.I. Mínimo 90.10 Máximo 96.00 Vitamina E Unidad mg Mínimo 10.20 Máximo 15.00 Acido ascórbico Unidad mg Mínimo 20.00 Máximo 68.00 Acido fólico Unidad µg Mínimo 122.00 Máximo 200.00 Tiamina Unidad mg Mínimo 0.70 Máximo 0.72 Riboflavina Unidad mg Mínimo 0.70 Máximo 0.80 Niacina Unidad mg Mínimo 0.90 Máximo 1.00 Vitamina B12 Unidad µg Mínimo 2.70 Máximo 3.10 Biotina Unidad µg Mínimo 61.00 Máximo 150.00 Acido pantoténico Unidad mg Mínimo 2.40 Máximo 5.00 Vitamina K Unidad µg Mínimo 18.00 Máximo 44.10 Colina Unidad mg Mínimo 0.0 Máximo 136.00 Calcio Unidad mg Mínimo 225.20 Máximo 325.20 Fósforo Unidad mg Mínimo 225.20 Máximo 268.80 Yodo Unidad µgMínimo 34.00 Máximo 44.00 Hierro Unidad mg Mínimo 4.10 Máximo 5.00 Magnesio Unidad mg Mínimo 90.10 Máximo 105.00 Cobre Unidad mg Mínimo 0.50 Máximo 0.52 Zinc Unidad mg Mínimo 4.30 Máximo 5.40 Manganeso Unidad mg Mínimo 0.90  Máximo 1.20 Potasio Unidad mg Mínimo 515.00 Máximo 860.00 Sodio Unidad mg Mínimo 130.00 Máximo 360.00 Cloro Unidad mg Mínimo 300.00 Máximo 610.00 Selenio Unidad µg Mínimo 0.0 Máximo 19.00 Cromo Unidad µg Mínimo 0.0 Máximo 22.5 Molibdeno Unidad µg Mínimo 0.0 Máximo 3,Pieza,Dieta polimerica a base de caseinato de calcio o proteinas grasas vitaminas minerales
010.000.2801.00,Zinc y fenilefrina. Solución Oftálmica Cada ml contiene: Sulfato de Zinc heptahidratado 2.5 mg Clorhidrato de fenilefrina 1.2 mg Envase con gotero integral con 15 ,Pieza,Zinc y fenilefrina
010.000.2804.00,Nafazolina. Solución Oftálmica Cada ml contiene: Clorhidrato de Nafazolina 1 mg Envase con gotero integral con 15 m,Pieza,Nafazolina
010.000.2823.00,Neomicina polimixina b y gramicidina. Solución Oftálmica Cada ml contiene: Sulfato de Neomicina equivalente a 1.75 mg de Neomicina. Sulfato de Polimixina B equivalente a 5 000 U de Polimixina B. Gramicidina 25 µg Envase con gotero integral con 15 ,Pieza,Neomicina polimixina b y gramicidina
010.000.2824.00,Neomicina polimixina b y bacitracina. Ungüento Oftálmico Cada gramo contiene: Sulfato de neomicina equivalente a 3.5 mg de neomicina. Sulfato de polimixina B equivalente a 5 000 U de polimixina B Bacitracina 400 U Envase con 3.5 ,Pieza,Neomicina polimixina b y bacitracina
010.000.2829.00,Sulfacetamida. Solución Oftálmica Cada ml contiene: Sulfacetamida sódica 0.1 g Envase con gotero integral con 15 ,Pieza,Sulfacetamida
010.000.2858.00,Timolol. Solución Oftálmica Cada ml contiene: Maleato de timolol equivalente a 5 mg de timolol. Envase con gotero integral con 5 m,Pieza,Timolol
010.000.2874.00,Homatropina. Solución Oftálmica Cada 100 ml contienen: Bromhidrato de Homatropina 2 g Envase con gotero integral con 5 m,Pieza,Homatropina
010.000.2891.00,Proximetacaína. Solución Oftálmica Cada ml contiene: Clorhidrato de Proximetacaína 5 mg Envase con gotero integral con 15,Pieza,Proximetacaina
010.000.2900.00,Acetilcolina cloruro de. Solución Oftálmica. Cada frasco ámpula con liofilizado contiene: Cloruro de Acetilcolina 20 mg Envase con un frasco ámpula con liofilizado y ampolleta con 2 ml de diluye,Envase,Acetilcolina cloruro de
010.000.3001.00,Tiotepa. Solución Inyectable Cada frasco ámpula con polvo contiene: Tiotepa 15 mg Envase con un frasco ámpu,Envase,Tiotepa
010.000.3022.00,Mitomicina. Solución Inyectable Cada frasco ámpula con polvo contiene: Mitomicina 5 mg Envase con un frasco ámpu,Pieza,Mitomicina
010.000.3047.00,Tamoxifeno. Tableta Cada Tableta contiene: Citrato de tamoxifeno equivalente a 20 mg de tamoxifeno Envase con 14 Tabletas.,Pieza,Tamoxifeno
010.000.3050.00,Bcg inmunoterapéutico. Suspensión Cada frasco ámpula con liofilizado contiene: Bacilo de Calmette-Guerin 81.00 mg equivalente a 1.8X108-19.2X108 UFC (unidades formadoras de colonias) Envase con un frasco ámpula con liofilizado y un frasco ámpula de 3 ml de diluy,Pieza,Bcg inmunoterapeutico
010.000.3132.00,Neomicina polimixina b fluocinolona y lidocaína. Solución Ótica Cada 100 ml contienen: Acetónido de fluocinolona 0.025 g Sulfato de Polimixina B equivalente a 1 000 000 U de polimixina B Sulfato de neomicina equivalente a 0.350 g de neomicina Clorhidrato de lidocaína 2.0 g Envase con gotero integral con ,Pieza,Neomicina polimixina b fluocinolona y lidocaina
010.000.3143.00,Epinastina. Tableta Cada Tableta contiene: Clorhidrato de epinastina 20 mg Envase con 10 Tabletas.,Pieza,Epinastina
010.000.3150.00,Levocetirizina. Tableta Cada Tableta contiene: Diclorhidrato de Levocetirizina 5 mg Envase con 20 Tabletas.,Pieza,Levocetirizina
010.000.3400.00,Dipiridamol-ácido acetilsalicílico. Cápsula de Liberación Prolongada Cada Cápsula de Liberación Prolongada contiene: Dipiridamol 200 mg Acido acetilsalicílico 25 mg Envase con 60 Cápsulas de Liberación P,Pieza,Dipiridamol-acido acetilsalicilico
010.000.3409.00,Colchicina. Tableta. Cada tableta contiene: Colchicina 1 mg Envase con 30 Tabletas.,Pieza,Colchicina
010.000.3415.00,Piroxicam. Cápsula o Tableta Cada Cápsula o Tableta contiene: Piroxicam 20 mg Envase con 20 Cápsulas o Tablet,Pieza,Piroxicam
010.000.3422.00,Ketorolaco solucion inyectable cada frasco ámpula o ampolleta contiene: ketorolaco-trometamina 30 mg envase con 3 frascos ámpula o 3 ampolletas de 1 m,Pieza,Ketorolaco
010.000.3443.00,Orfenadrina. Solución Inyectable Cada ampolleta contiene: Citrato de orfenadrina 60 mg Envase con 6 ampolletas de 2 ml,Pieza,Orfenadrina
010.000.3444.00,Metocarbamol. Tableta Cada Tableta contiene: Metocarbamol 400 mg Envase con 30 Tabletas.,Pieza,Metocarbamol
010.000.3453.00,Probenecid. Tableta Cada Tableta contiene: Probenecid 500 mg Envase con 50 Tabletas.,Pieza,Probenecid
010.000.3461.00,Azatioprina. Tableta Cada Tableta contiene: Azatioprina 50 mg Envase con 50 Tabletas.,Pieza,Azatioprina
010.000.3503.00,Noretisterona. Solución inyectable oleosa. Cada ampolleta contiene: Enantato de noretisterona 200 mg Envase con una ampolleta de 1 ml,Pieza,Noretisterona
010.000.3506.00,Noretisterona y etinilestradiol. Tableta o Gragea Cada Tableta o Gragea contiene: Norestisterona 0.400 mg Etinilestradiol 0.035 mg Envase con 28 Tabletas o Grageas. (21 Tabletas con hormonales y 7 sin hormonales),Pieza,Noretisterona y etinilestradiol
010.000.3509.00,Medroxiprogesterona y cipionato de estradiol. Suspensión Inyectable Cada ampolleta o jeringa contiene: Acetato de Medroxiprogesterona 25 mg Cipionato de estradiol 5 mg Envase con una ampolleta o jeringa prellenada de 0.5 ml,Pieza,Medroxiprogesterona y cipionato de estradiol
010.000.3510.00,Etonogestrel. Implante El Implante contiene: Etonogestrel 68.0 mg Envase con un Implante y aplicador.,Pieza,Etonogestrel
010.000.3511.00,Norelgestromina-etinilestradiol. Parche. Cada parche contiene: Norelgestromina 6.00 mg Etinilestradiol 0.60 mg Envase con 3 Parches..,Pieza,Norelgestromina-etinilestradiol
010.000.3515.00,Noretisterona y estradiol. Solución Inyectable Cada ampolleta o jeringa contiene: Enantato de noretisterona 50 mg Valerato de estradiol 5 mg Envase con una ampolleta o jeringa con un ml,Pieza,Noretisterona y estradiol
010.000.3617.00,Fosfato de potasio. Solución Inyectable. Cada ampolleta contiene: Fosfato de potasio dibásico 1.550 g Fosfato de potasio monobásico 0.300 g (Potasio 20 mEq) (Fosfato 20 mEq) Envase con 50 ampolletas con 10,Pieza,Fosfato de potasio
010.000.3629.00,Magnesio sulfato de. Solución Inyectable Cada ampolleta contiene: Sulfato de magnesio 1g (Magnesio 8.1 mEq sulfato 8.1 mEq) Envase con 100 ampolletas de 10 ml con 1 g (100 mg/1 ml),Pieza,Magnesio sulfato de
010.000.3826.00,L-ornitina-L-aspartato. Solución Inyectable Cada ampolleta contiene: L-ornitina-L-aspartato 5 g Envase con 5 ampolletas con 10 ml,Pieza,L-ornitina-l-aspartato
010.000.4028.00,Clonixinato de lisina solución inyectable cada ampolleta contiene: clonixinato de lisina 100 mg envase con 5 ampolletas de 2 ml,Pieza,Clonixinato de lisina
010.000.4031.00,Capsaicina crema cada 100 gramos contiene: extracto de oleoresina del capsicum annuuna equivalente a 0.035 g de capsaicina. Envase con 40 g.,Pieza,Capsaicina
010.000.4036.00,Etofenamato solucion inyectable cada ampolleta contiene: etofenamato 1 g envase con una ampolleta de 2 ml.,Pieza,Etofenamato
010.000.4059.00,Rocuronio bromuro de. Solución Inyectable Cada ampolleta o frasco ámpula contiene: Bromuro de rocuronio 50 mg Envase con 12 ampolletas o frascos ámpula de 5 ,Pieza,Rocuronio bromuro de
010.000.4061.00,Cisatracurio besilato de. Solución InyectableCada ml contiene:Besilato de cisatracurioequivalente a 2 mgde cisatracurioEnvase con 1 ampolleta con 5 ml,Pieza,Cisatracurio besilato de
010.000.4112.00,Resina de colestiramina. Polvo. Cada sobre contiene: Resina de colestiramina 4 g Envase con 50 sobres.,Pieza,Resina de colestiramina
010.000.4113.00,Polidocanol. Solución Inyectable Cada ml contiene: Polidocanol 30 mg Envase con un frasco ámpula con 30 m,Pieza,Polidocanol
010.000.4126.00,Sulfadiazina de plata. Crema Cada 100 gramos contiene: Sulfadiazina de plata micronizada 1 g Envase con 375 g.,Pieza,Sulfadiazina de plata
010.000.4130.00,Tacalcitol. Ungüento Cada 100 gramos contiene: Tacalcitol 0.417 mg Envase con 30 g,Pieza,Tacalcitol
010.000.4140.00,Imiquimod. Crema al 5% Cada sobre contiene: Imiquimod 12.5 mg Envase con 12 sobres que contienen 250 mg de Crema.,Pieza,Imiquimod
010.000.4149.00,Pioglitazona. Tableta Cada Tableta contiene: Clorhidrato de pioglitazona equivalente a 15 mg de pioglitazona. Envase con 7 Tabletas.,Pieza,Pioglitazona
010.000.4151.00,Coriogonadotropina alfa. Solución Inyectable Cada jeringa prellenada con 0.5 ml contiene: Coriogonadotropina alfa 250 µg Envase con una jeringa prellena,Pieza,Coriogonadotropina alfa
010.000.4154.00,Vasopresina. Solución Inyectable Cada ampolleta contiene: Vasopresina 20 UI Envase con una ampolleta,Pieza,Vasopresina
010.000.4160.00,Fludrocortisona. Comprimido Cada Comprimido contiene: Acetato de fludrocortisona 0.1 mg Envase con 100 Comprimidos.,Pieza,Fludrocortisona
010.000.4162.00,Insulina lispro. Solución Inyectable. Cada ml contiene: Insulina lispro (origen ADN recombinante) 100 UI Envase con un frasco ámpula con 10 m,Pieza,Insulina lispro
010.000.4168.00,Insulina glulisina. Solución Inyectable Cada mililitro contiene: Insulina glulisina equivalente a 100 UI de insulina humana Envase con frasco ámpula con 10 m,Pieza,Insulina glulisina
010.000.4174.00,Teriparatida. Solución Inyectable Cada mililitro contiene: Teriparatida 250 µg Envase con pluma con cartucho ensamblado de 2.4 m,Pieza,Teriparatida
010.000.4176.00,Neomicina. Cápsula o Tableta Cada Tableta o Cápsula contiene: Sulfato de neomicina equivalente a 250 mg de neomicina. Envase con 10 Cápsulas o Tablet,Pieza,Neomicina
010.000.4184.00,Loperamida. Comprimido tableta o gragea. Cada comprimido tableta o gragea contiene: Clorhidrato de loperamida 2 mg. Envase con 12 comprimidos tabletas o grageas.,Pieza,Loperamida
010.000.4191.00,Polietilenglicol. Polvo .Cada sobre contiene: Polietilenglicol 3350 105 g. Envase con 4 sobres.,Pieza,Polietilenglicol
010.000.4194.00,Tegaserod. Comprimido Cada Comprimido contiene: Maleato hidrogenado de tegaserod equivalente a 6.0 mg de tegaserod. Envase con 10 Comprimidos,Pieza,Tegaserod
010.000.4200.00,Nesiritida. Solución Inyectable Cada frasco ámpula con liofilizado contiene: Citrato de nesiritida a 1.58 mg de nesiritida. Envase con un frasco ámpu,Pieza,Nesiritida
010.000.4206.00,Estriol. Crema Cada 100 g contienen: Estriol 100 mg Envase con 15 g.,Pieza,Estriol
010.000.4220.00,Fondaparinux. Solución Inyectable Cada jeringa contiene: Fondaparinux sódico 2.5 mg Envase con 2 Jeringas. prellenad,Pieza,Fondaparinux
010.000.4226.00,Hidroxicarbamida. Cápsula Cada Cápsula contiene: Hidroxicarbamida 500 mg Envase con 100 Cápsul,Pieza,Hidroxicarbamida
010.000.4228.00,Daunorubicina. Solución Inyectable Cada frasco ámpula con liofilizado contiene: Clorhidrato de daunorubicina equivalente a 20 mg de daunorubicina. Envase con un frasco ámpu,Pieza,Daunorubicina
010.000.4230.00,Etopósido. Solución Inyectable Cada ampolleta o frasco ámpula contiene: Etopósido 100 mg Envase con 10 ampolletas o frascos ámpula de ,Pieza,Etoposido
010.000.4232.00,Globulina equina antitimocítica humana. Solución Inyectable Cada ml contiene: Globulina equina antitimocítica humana 50 mg Envase con 5 ampolletas de 5 ,Pieza,Globulina equina antitimocitica humana
010.000.4233.00,Mitoxantrona. Solución Inyectable Cada frasco ámpula contiene: Clorhidrato de mitoxantrona equivalente a 20 mg de mitoxantrona base Envase con un frasco ámpula con 10 ,Pieza,Mitoxantrona
010.000.4237.00,�cido aminocaproico. Soluci�n Inyectable Cada frasco �mpula contiene: �cido aminocaproico 5 g Envase con un frasco �mpula con 20 ml.,Pieza,Acido aminocaproico
010.000.4239.00,Factor antihemofílico humano. Solución Inyectable Cada frasco ámpula con liofilizado contiene: Factor antihemofílico humano 250 UI Envase con un frasco ámpula frasco ámpula con diluyente y equipo para administr,Pieza,Factor antihemofilico humano
010.000.4247.00,Abciximab. Solución Inyectable Cada frasco ámpula contiene: Abciximab 10 mg Envase con un frasco ámpula (10 mg/5m,Pieza,Abciximab
010.000.4251.00,Vancomicina. Solución Inyectable Cada frasco ámpula con polvo contiene: Clorhidrato de vancomicina equivalente a 500 mg de vancomicina. Envase con un frasco ámpu,Pieza,Vancomicina
010.000.4254.00,Ceftazidima. Solución Inyectable. Cada frasco ámpula con polvo contiene: Ceftazidima pentahidratada equivalente a 1 g de ceftazidima. Envase con un frasco ámpula y 3 ml de diluyen,Pieza,Ceftazidima
010.000.4256.00,Talidomida. Tableta o Cápsula Cada Tableta o Cápsula contiene: Talidomida 100 mg Envase con 50 Tabletas ó Cápsu,Pieza,Talidomida
010.000.4265.00,Ciprofibrato. Cápsula o Tableta. Cada Cápsula o Tableta contiene: Ciprofibrato 100 mg Envase con 30 cápsulas o tablet,Pieza,Ciprofibrato
010.000.4268.00,Lamivudina/zidovudina. Tableta Cada Tableta contiene: Lamivudina 150 mg Zidovudina 300 mg Envase con 60 Tabletas.,Pieza,Lamivudina/zidovudina
010.000.4274.00,Tipranavir. Cápsula Cada Cápsula contiene: Tipranavir 250 mg Envase con 120 Cápsul,Pieza,Tipranavir
010.000.4275.00,Amprenavir. Cápsula Cada Cápsula contiene: Amprenavir 150 mg Envase con 240 Cápsul,Pieza,Amprenavir
010.000.4276.00,Emtricitabina. Cápsula Cada Cápsula contiene: Emtricitabina 200 mg Envase con 30 Cápsul,Pieza,Emtricitabina
010.000.4277.00,TENOFOVIR TABLETA Cada tableta contiene: Tenofovir disoproxil fumarato 300 mg. Envase con 30 tabletas.,Pieza,Tenofovir
010.000.4278.00,Fosamprenavir. Tableta recubierta. Cada tableta recubierta contiene: Fosamprenavir cálcico equivalente a 700 mg de fosamprenavir Envase con 60. Tabletas recubiertas,Pieza,Fosamprenavir
010.000.4302.00,Finasterida. Gragea o Tableta Recubierta. Cada gragea o tableta recubierta contiene: Finasterida 5 mg Envase con 30 Grageas o Tabletas recubiertas.,Pieza,Finasterida
010.000.4307.00,Cilostazol. Tableta Cada Tableta contiene: Cilostazol 100 mg Envase con 30 Tabletas.,Pieza,Cilostazol
010.000.4323.00,Dasatinib. Tableta Cada Tableta contiene: Dasatinib 50 mg Envase con 60 Tabletas,Pieza,Dasatinib
010.000.4324.00,Factor viii de la coagulación humano. Solución Inyectable Cada frasco ámpula con liofilizado contiene: Factor VIII de la coagulación humano 500 UI Envase con un frasco ámpula con liofilizado un frasco ámpula con 5 ml ó 10 ml de diluyente y equipo para adminis,Pieza,Factor viii de la coagulacion humano
010.000.4326.00,Acetilcisteína. Solución al 20% Cada ampolleta contiene: Acetilcisteína 400 mg Envase con 5 ampolletas con 2 ml (200 mg/m,Pieza,Acetilcisteina
010.000.4357.00,Sumatriptán. Solución Inyectable Cada 0.5 ml contiene: Succinato de sumatriptán equivalente a 6 mg de sumatriptán. Envase con una jeringa con 0.5,Pieza,Sumatriptan
010.000.4359.00,Gabapentina. Cápsula. Cada cápsula contiene: Gabapentina 300 mg Envase con 15 Cápsul,Pieza,Gabapentina
010.000.4368.00,Abacavir-lamivudina-zidovudina. Tableta Cada Tableta contiene: Sulfato de abacavir. Equivalente a 300 mg de abacavir. Lamivudina 150 mg. Zidovudina 300 mg. Envase con 60 tabletas.,Pieza,Abacavir-lamivudina-zidovudina
010.000.4371.00,Abacavir-lamivudina. Tableta. Cada tableta contiene: Sulfato de abacavir equivalente a 600 mg de abacavir. Lamivudina 300 mg. Envase con 30 tabletas.,Pieza,Abacavir-lamivudina
010.000.4373.00,Valganciclovir. Comprimido Cada Comprimido contiene: Clorhidrato de valganciclovir equivalente a 450 mg de valganciclovir. Envase con 60 Comprimidos,Pieza,Valganciclovir
010.000.4374.00,Zanamivir. PoLVo Cada dosis de polvo contiene: Zanamivir 5 mg Envase con 5 discos de aluminio cada uno con 4 dosis de 5 mg y un dispositivo inhalador.,Pieza,Zanamivir
010.000.4375.00,Adefovir. Tableta Cada Tableta contiene: Dipivoxilo de adefovir 10 mg Envase con 30 Tabletas,Pieza,Adefovir
010.000.4378.00,Selenio. Solución Inyectable. Cada ml contiene Selenio 40.0 µg. Envase con un frasco ámpula con 10 ,Pieza,Selenio
010.000.4396.00,EMTRICITABINA-TENOFOVIR DISOPROXIL O EMTRICITABINA-TENOFOVIR DISOPROXIL FUMARATO. TABLETA RECUBIERTA. Cada tableta recubierta contiene:Tenofovir disoproxil 245 mg o Tenofovir disoproxil fumarato  300 mg equivalente a 245 mg de Tenofovir disoproxil Emtricitabina 200 mg. Envase con 30 tabletas recubiertas.,Pieza,Emtricitabina-tenofovir disoproxil o emtricitabina-tenofovir disoproxil fumarato
010.000.4396.01,Emtricitabina-tenofovir. Tableta. Cada Tableta contiene: Tenofovir disoproxil succinato equivalente a 245 mg de tenofovir disoproxil Emtricitabina 200 mg Envase con 30 Tabletas.,Pieza,Emtricitabina-tenofovir
010.000.4407.00,Tetracaína. Solución Oftálmica Cada ml contiene: Clorhidrato de Tetracaína 5.0 mg Envase con gotero integral con 10,Pieza,Tetracaina
010.000.4410.00,Dorzolamida. Solución Oftálmica Cada ml contiene: Clorhidrato de dorzolamida equivalente a 20 mg de dorzolamida Envase con gotero integral con 5 m,Pieza,Dorzolamida
010.000.4412.00,Dorzolamida y timolol. Solución Oftálmica Cada ml contiene: Clorhidrato de dorzolamida equivalente a 20 mg de dorzolamida Maleato de timolol equivalente a 5 mg de timolol Envase con gotero integral con 5 ,Pieza,Dorzolamida y timolol
010.000.4413.00,Brimonidina. Solución Oftálmica Cada ml contiene: Tartrato de brimonidina 2.0 mg Envase con frasco gotero con 5 m,Pieza,Brimonidina
010.000.4415.00,Verteporfina. Solución Inyectable Cada frasco ámpula con liofilizado contiene: Verteporfina 15 mg Envase con un frasco ámpu,Pieza,Verteporfina
010.000.4418.00,Travoprost. Solución Oftálmica Cada ml contiene: Travoprost 40 µg Envase con un frasco gotero con 2.5 ,Pieza,Travoprost
010.000.4420.00,Brimonidina - timolol. Solución Oftálmica Cada mililitro contiene: Tartrato de brimonidina 2.00 mg Maleato de timolol 6.80 mg Envase con gotero integral con 5 m,Pieza,Brimonidina - timolol
010.000.4428.00,Lomustina. Cápsula. Cada frasco con dos cápsulas contiene: Lomustina: 10 mg Lomustina 40 mg Lomustina 100 mg Envase con 3 frascos conteniendo 2 Cápsulas de cada una de las cantidad,Pieza,Lomustina
010.000.4429.00,Dactinomicina. Solución Inyectable Cada frasco ámpula con liofilizado contiene: Dactinomicina 0.5 mg Envase con un frasco ámpu,Pieza,Dactinomicina
010.000.4433.00,MESNA. SOLUCIÓN INYECTABLE Cada ampolleta o frasco ámpula o vial contiene: Mesna 400 mg Envase con 5 ampolletas o frascos ámpula o viales con 4 mL (100 mg/m,Envase,Mesna
010.000.4436.00,Oprelvekina. Solución Inyectable Cada frasco ámpula con liofilizado contiene: oprelvekina 5 mg Envase con un frasco ámpula con liofilizado y frasco ámpula con 1 ml de diluye,Pieza,Oprelvekina
010.000.4437.00,Palonosetrón. Solución Inyectable Cada frasco ámpula contiene: Clorhidrato de palonosetrón equivalente a 0.25 mg de palonosetrón Envase con un frasco ámpula con,Pieza,Palonosetron
010.000.4442.00,Aprepitant. Cápsula Cada Cápsula contiene: 125 mg de Aprepitant Cada Cápsula contiene: 80 mg de Aprepitant Envase con una Cápsula de 125 mg y 2 Cápsulas de ,Pieza,Aprepitant
010.000.4444.00,Dexrazoxano. Solución Inyectable. El frasco ámpula contiene: Clorhidrato de dexrazoxano equivalente a 500 mg de dexrazoxano. Envase con un frasco ámpu,Pieza,Dexrazoxano
010.000.4448.00,Bortezomib. Solución Inyectable Cada frasco ámpula con liofilizado contiene: Bortezomib 3.5 mg Envase con un frasco ámpu,Pieza,Bortezomib
010.000.4485.00,Duloxetina. Cápsula de liberación retardada. Cada cápsula de liberación retardada contiene: Clorhidrato de duloxetina equivalente a 60 mg de duloxetina Envase con 14 Cápsulas de Liberación Reta,Pieza,Duloxetina
010.000.4487.00,Reboxetina. Tableta Cada Tableta contiene Metansulfonato de reboxetina equivalente a 4 mg de reboxetina Envase con 60 Tabletas.,Pieza,Reboxetina
